"TIME","GEO","UNIT","INDIC_NA","Value","Flag and Footnotes"
"2006","European Union (28 countries)","Million euro","Gross domestic product at market prices","11,764,657.3",""
"2006","European Union (28 countries)","Million euro","Gross fixed capital formation","2,431,228.5",""
"2006","European Union (28 countries)","Million euro","External balance of goods and services","50,880.5",""
"2006","European Union (28 countries)","Euro per inhabitant","Gross domestic product at market prices","23,600",""
"2006","European Union (28 countries)","Euro per inhabitant","Gross fixed capital formation","4,900",""
"2006","European Union (28 countries)","Euro per inhabitant","External balance of goods and services","100",""
"2006","European Union (28 countries)","Purchasing power standard (PPS) per inhabitant","Gross domestic product at market prices","23,600",""
"2006","European Union (28 countries)","Purchasing power standard (PPS) per inhabitant","Gross fixed capital formation","4,900",""
"2006","European Union (28 countries)","Purchasing power standard (PPS) per inhabitant","External balance of goods and services","100",""
"2006","European Union (28 countries)","Percentage of gross domestic product (GDP)","Gross domestic product at market prices","100.0",""
"2006","European Union (28 countries)","Percentage of gross domestic product (GDP)","Gross fixed capital formation","20.7",""
"2006","European Union (28 countries)","Percentage of gross domestic product (GDP)","External balance of goods and services","0.4",""
"2006","European Union (28 countries)","Percentage of EU27 total (based on PPS per inhabitant)","Gross domestic product at market prices","100",""
"2006","European Union (28 countries)","Percentage of EU27 total (based on PPS per inhabitant)","Gross fixed capital formation","99.7",""
"2006","European Union (28 countries)","Percentage of EU27 total (based on PPS per inhabitant)","External balance of goods and services","94.3",""
"2006","European Union (27 countries)","Million euro","Gross domestic product at market prices","11,724,922.7",""
"2006","European Union (27 countries)","Million euro","Gross fixed capital formation","2,420,882.3",""
"2006","European Union (27 countries)","Million euro","External balance of goods and services","53,554.1",""
"2006","European Union (27 countries)","Euro per inhabitant","Gross domestic product at market prices","23,800",""
"2006","European Union (27 countries)","Euro per inhabitant","Gross fixed capital formation","4,900",""
"2006","European Union (27 countries)","Euro per inhabitant","External balance of goods and services","100",""
"2006","European Union (27 countries)","Purchasing power standard (PPS) per inhabitant","Gross domestic product at market prices","23,700",""
"2006","European Union (27 countries)","Purchasing power standard (PPS) per inhabitant","Gross fixed capital formation","4,900",""
"2006","European Union (27 countries)","Purchasing power standard (PPS) per inhabitant","External balance of goods and services","100",""
"2006","European Union (27 countries)","Percentage of gross domestic product (GDP)","Gross domestic product at market prices","100.0",""
"2006","European Union (27 countries)","Percentage of gross domestic product (GDP)","Gross fixed capital formation","20.6",""
"2006","European Union (27 countries)","Percentage of gross domestic product (GDP)","External balance of goods and services","0.5",""
"2006","European Union (27 countries)","Percentage of EU27 total (based on PPS per inhabitant)","Gross domestic product at market prices","100.0",""
"2006","European Union (27 countries)","Percentage of EU27 total (based on PPS per inhabitant)","Gross fixed capital formation","100.0",""
"2006","European Union (27 countries)","Percentage of EU27 total (based on PPS per inhabitant)","External balance of goods and services","100.0",""
"2006","European Union (15 countries)","Million euro","Gross domestic product at market prices","10,971,818.9",""
"2006","European Union (15 countries)","Million euro","Gross fixed capital formation","2,244,890.1",""
"2006","European Union (15 countries)","Million euro","External balance of goods and services","82,127.6",""
"2006","European Union (15 countries)","Euro per inhabitant","Gross domestic product at market prices","28,100",""
"2006","European Union (15 countries)","Euro per inhabitant","Gross fixed capital formation","5,700",""
"2006","European Union (15 countries)","Euro per inhabitant","External balance of goods and services","200",""
"2006","European Union (15 countries)","Purchasing power standard (PPS) per inhabitant","Gross domestic product at market prices","26,600",""
"2006","European Union (15 countries)","Purchasing power standard (PPS) per inhabitant","Gross fixed capital formation","5,400",""
"2006","European Union (15 countries)","Purchasing power standard (PPS) per inhabitant","External balance of goods and services","200",""
"2006","European Union (15 countries)","Percentage of gross domestic product (GDP)","Gross domestic product at market prices","100.0",""
"2006","European Union (15 countries)","Percentage of gross domestic product (GDP)","Gross fixed capital formation","20.5",""
"2006","European Union (15 countries)","Percentage of gross domestic product (GDP)","External balance of goods and services","0.7",""
"2006","European Union (15 countries)","Percentage of EU27 total (based on PPS per inhabitant)","Gross domestic product at market prices","112.1",""
"2006","European Union (15 countries)","Percentage of EU27 total (based on PPS per inhabitant)","Gross fixed capital formation","111.1",""
"2006","European Union (15 countries)","Percentage of EU27 total (based on PPS per inhabitant)","External balance of goods and services","183.7",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Million euro","Gross domestic product at market prices","8,455,402.9",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Million euro","Gross fixed capital formation","1,797,859.2",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Million euro","External balance of goods and services","101,047.2",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro per inhabitant","Gross domestic product at market prices","26,800",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro per inhabitant","Gross fixed capital formation","5,700",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro per inhabitant","External balance of goods and services","300",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Purchasing power standard (PPS) per inhabitant","Gross domestic product at market prices","26,000",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Purchasing power standard (PPS) per inhabitant","Gross fixed capital formation","5,500",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Purchasing power standard (PPS) per inhabitant","External balance of goods and services","300",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage of gross domestic product (GDP)","Gross domestic product at market prices","100.0",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage of gross domestic product (GDP)","Gross fixed capital formation","21.3",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage of gross domestic product (GDP)","External balance of goods and services","1.2",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage of EU27 total (based on PPS per inhabitant)","Gross domestic product at market prices","109.7",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage of EU27 total (based on PPS per inhabitant)","Gross fixed capital formation","113.0",""
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Percentage of EU27 total (based on PPS per inhabitant)","External balance of goods and services","287.1",""
"2006","Euro area (18 countries)","Million euro","Gross domestic product at market prices","8,580,205.1",""
"2006","Euro area (18 countries)","Million euro","Gross fixed capital formation","1,832,113.4",""
"2006","Euro area (18 countries)","Million euro","External balance of goods and services","93,483.6",""
"2006","Euro area (18 countries)","Euro per inhabitant","Gross domestic product at market prices","26,200",""
"2006","Euro area (18 countries)","Euro per inhabitant","Gross fixed capital formation","5,600",""
"2006","Euro area (18 countries)","Euro per inhabitant","External balance of goods and services","300",""
"2006","Euro area (18 countries)","Purchasing power standard (PPS) per inhabitant","Gross domestic product at market prices","25,700",""
"2006","Euro area (18 countries)","Purchasing power standard (PPS) per inhabitant","Gross fixed capital formation","5,500",""
"2006","Euro area (18 countries)","Purchasing power standard (PPS) per inhabitant","External balance of goods and services","300",""
"2006","Euro area (18 countries)","Percentage of gross domestic product (GDP)","Gross domestic product at market prices","100.0",""
"2006","Euro area (18 countries)","Percentage of gross domestic product (GDP)","Gross fixed capital formation","21.4",""
"2006","Euro area (18 countries)","Percentage of gross domestic product (GDP)","External balance of goods and services","1.1",""
"2006","Euro area (18 countries)","Percentage of EU27 total (based on PPS per inhabitant)","Gross domestic product at market prices","108.2",""
"2006","Euro area (18 countries)","Percentage of EU27 total (based on PPS per inhabitant)","Gross fixed capital formation","111.9",""
"2006","Euro area (18 countries)","Percentage of EU27 total (based on PPS per inhabitant)","External balance of goods and services","258.1",""
"2006","Euro area (17 countries)","Million euro","Gross domestic product at market prices","8,564,223.2",""
"2006","Euro area (17 countries)","Million euro","Gross fixed capital formation","1,826,847.8",""
"2006","Euro area (17 countries)","Million euro","External balance of goods and services","96,928.0",""
"2006","Euro area (17 countries)","Euro per inhabitant","Gross domestic product at market prices","26,300",""
"2006","Euro area (17 countries)","Euro per inhabitant","Gross fixed capital formation","5,600",""
"2006","Euro area (17 countries)","Euro per inhabitant","External balance of goods and services","300",""
"2006","Euro area (17 countries)","Purchasing power standard (PPS) per inhabitant","Gross domestic product at market prices","25,700",""
"2006","Euro area (17 countries)","Purchasing power standard (PPS) per inhabitant","Gross fixed capital formation","5,500",""
"2006","Euro area (17 countries)","Purchasing power standard (PPS) per inhabitant","External balance of goods and services","300",""
"2006","Euro area (17 countries)","Percentage of gross domestic product (GDP)","Gross domestic product at market prices","100.0",""
"2006","Euro area (17 countries)","Percentage of gross domestic product (GDP)","Gross fixed capital formation","21.3",""
"2006","Euro area (17 countries)","Percentage of gross domestic product (GDP)","External balance of goods and services","1.1",""
"2006","Euro area (17 countries)","Percentage of EU27 total (based on PPS per inhabitant)","Gross domestic product at market prices","108.6",""
"2006","Euro area (17 countries)","Percentage of EU27 total (based on PPS per inhabitant)","Gross fixed capital formation","112.2",""
"2006","Euro area (17 countries)","Percentage of EU27 total (based on PPS per inhabitant)","External balance of goods and services","269.0",""
"2006","Euro area (16 countries)","Million euro","Gross domestic product at market prices",":",""
"2006","Euro area (16 countries)","Million euro","Gross fixed capital formation",":",""
"2006","Euro area (16 countries)","Million euro","External balance of goods and services",":",""
"2006","Euro area (16 countries)","Euro per inhabitant","Gross domestic product at market prices",":",""
"2006","Euro area (16 countries)","Euro per inhabitant","Gross fixed capital formation",":",""
"2006","Euro area (16 countries)","Euro per inhabitant","External balance of goods and services",":",""
"2006","Euro area (16 countries)","Purchasing power standard (PPS) per inhabitant","Gross domestic product at market prices",":",""
"2006","Euro area (16 countries)","Purchasing power standard (PPS) per inhabitant","Gross fixed capital formation",":",""
"2006","Euro area (16 countries)","Purchasing power standard (PPS) per inhabitant","External balance of goods and services",":",""
"2006","Euro area (16 countries)","Percentage of gross domestic product (GDP)","Gross domestic product at market prices",":",""
"2006","Euro area (16 countries)","Percentage of gross domestic product (GDP)","Gross fixed capital formation",":",""
"2006","Euro area (16 countries)","Percentage of gross domestic product (GDP)","External balance of goods and services",":",""
"2006","Euro area (16 countries)","Percentage of EU27 total (based on PPS per inhabitant)","Gross domestic product at market prices",":",""
"2006","Euro area (16 countries)","Percentage of EU27 total (based on PPS per inhabitant)","Gross fixed capital formation",":",""
"2006","Euro area (16 countries)","Percentage of EU27 total (based on PPS per inhabitant)","External balance of goods and services",":",""
"2006","Euro area (15 countries)","Million euro","Gross domestic product at market prices",":",""
"2006","Euro area (15 countries)","Million euro","Gross fixed capital formation",":",""
"2006","Euro area (15 countries)","Million euro","External balance of goods and services",":",""
