"TIME","GEO","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2005","Belgium","Age reached during the year","Total","Number","Total","132,810",""
"2005","Bulgaria","Age reached during the year","Total","Number","Total",":",""
"2005","Czech Republic","Age reached during the year","Total","Number","Total","60,294",""
"2005","Denmark","Age reached during the year","Total","Number","Total","52,458",""
"2005","Germany (until 1990 former territory of the FRG)","Age reached during the year","Total","Number","Total","707,352",""
"2005","Estonia","Age reached during the year","Total","Number","Total","1,436",""
"2005","Ireland","Age reached during the year","Total","Number","Total","102,000",""
"2005","Greece","Age reached during the year","Total","Number","Total","70,933",""
"2005","Spain","Age reached during the year","Total","Number","Total","719,284",""
"2005","France","Age reached during the year","Total","Number","Total",":",""
"2005","Croatia","Age reached during the year","Total","Number","Total",":",""
"2005","Italy","Age reached during the year","Total","Number","Total","304,960",""
"2005","Cyprus","Age reached during the year","Total","Number","Total","10,320",""
"2005","Latvia","Age reached during the year","Total","Number","Total","6,691",""
"2005","Lithuania","Age reached during the year","Total","Number","Total","6,789",""
"2005","Luxembourg","Age reached during the year","Total","Number","Total","14,397",""
"2005","Hungary","Age reached during the year","Total","Number","Total","27,820",""
"2005","Malta","Age reached during the year","Total","Number","Total","2,075",""
"2005","Netherlands","Age reached during the year","Total","Number","Total","92,297",""
"2005","Austria","Age reached during the year","Total","Number","Total","114,465",""
"2005","Poland","Age reached during the year","Total","Number","Total","9,364",""
"2005","Portugal","Age reached during the year","Total","Number","Total","21,741",""
"2005","Romania","Age reached during the year","Total","Number","Total",":",""
"2005","Slovenia","Age reached during the year","Total","Number","Total","15,041",""
"2005","Slovakia","Age reached during the year","Total","Number","Total","5,276",""
"2005","Finland","Age reached during the year","Total","Number","Total","21,355",""
"2005","Sweden","Age reached during the year","Total","Number","Total","65,229",""
"2005","United Kingdom","Age reached during the year","Total","Number","Total",":",""
"2005","Iceland","Age reached during the year","Total","Number","Total","7,773",""
"2005","Liechtenstein","Age reached during the year","Total","Number","Total",":",""
"2005","Norway","Age reached during the year","Total","Number","Total","40,148",""
