,TIME,GEO,ICCS,UNIT,Value
0,2008,Belgium,Intentional homicide,Number,203.0
1,2008,Belgium,Intentional homicide,Per hundred thousand inhabitants,1.9
2,2008,Belgium,Assault,Number,76314.0
3,2008,Belgium,Assault,Per hundred thousand inhabitants,715.43
4,2008,Belgium,Sexual violence,Number,10779.0
5,2008,Belgium,Sexual violence,Per hundred thousand inhabitants,101.05
6,2008,Belgium,Rape,Number,3231.0
7,2008,Belgium,Rape,Per hundred thousand inhabitants,30.29
8,2008,Belgium,Sexual assault,Number,7548.0
9,2008,Belgium,Sexual assault,Per hundred thousand inhabitants,70.76
10,2008,Belgium,Theft,Number,245682.0
11,2008,Belgium,Theft,Per hundred thousand inhabitants,2303.23
12,2008,Bulgaria,Intentional homicide,Number,172.0
13,2008,Bulgaria,Intentional homicide,Per hundred thousand inhabitants,2.29
14,2008,Bulgaria,Assault,Number,3216.0
15,2008,Bulgaria,Assault,Per hundred thousand inhabitants,42.78
16,2008,Bulgaria,Sexual violence,Number,749.0
17,2008,Bulgaria,Sexual violence,Per hundred thousand inhabitants,9.96
18,2008,Bulgaria,Rape,Number,262.0
19,2008,Bulgaria,Rape,Per hundred thousand inhabitants,3.48
20,2008,Bulgaria,Sexual assault,Number,487.0
21,2008,Bulgaria,Sexual assault,Per hundred thousand inhabitants,6.48
22,2008,Bulgaria,Theft,Number,42553.0
23,2008,Bulgaria,Theft,Per hundred thousand inhabitants,566.01
24,2008,Czech Republic,Intentional homicide,Number,113.0
25,2008,Czech Republic,Intentional homicide,Per hundred thousand inhabitants,1.09
26,2008,Czech Republic,Assault,Number,17875.0
27,2008,Czech Republic,Assault,Per hundred thousand inhabitants,172.82
28,2008,Czech Republic,Sexual violence,Number,1680.0
29,2008,Czech Republic,Sexual violence,Per hundred thousand inhabitants,16.24
30,2008,Czech Republic,Rape,Number,529.0
31,2008,Czech Republic,Rape,Per hundred thousand inhabitants,5.11
32,2008,Czech Republic,Sexual assault,Number,1151.0
33,2008,Czech Republic,Sexual assault,Per hundred thousand inhabitants,11.13
34,2008,Czech Republic,Theft,Number,166085.0
35,2008,Czech Republic,Theft,Per hundred thousand inhabitants,1605.71
36,2008,Denmark,Intentional homicide,Number,54.0
37,2008,Denmark,Intentional homicide,Per hundred thousand inhabitants,0.99
38,2008,Denmark,Assault,Number,11203.0
39,2008,Denmark,Assault,Per hundred thousand inhabitants,204.59
40,2008,Denmark,Sexual violence,Number,1837.0
41,2008,Denmark,Sexual violence,Per hundred thousand inhabitants,33.55
42,2008,Denmark,Rape,Number,396.0
43,2008,Denmark,Rape,Per hundred thousand inhabitants,7.23
44,2008,Denmark,Sexual assault,Number,1441.0
45,2008,Denmark,Sexual assault,Per hundred thousand inhabitants,26.32
46,2008,Denmark,Theft,Number,208868.0
