,TIME,GEO,UNIT,ISCED11,Value
0,2006,European Union (28 countries),Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",33.5
1,2006,European Union (28 countries),Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",66.5
2,2006,European Union (28 countries),Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),46.4
3,2006,European Union (28 countries),Percentage,Tertiary education (levels 5-8),20.0
4,2006,European Union (27 countries),Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",33.6
5,2006,European Union (27 countries),Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",66.4
6,2006,European Union (27 countries),Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),46.3
7,2006,European Union (27 countries),Percentage,Tertiary education (levels 5-8),20.1
8,2006,European Union (15 countries),Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",36.2
9,2006,European Union (15 countries),Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",63.8
10,2006,European Union (15 countries),Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),42.0
11,2006,European Union (15 countries),Percentage,Tertiary education (levels 5-8),21.8
12,2006,Euro area (19 countries),Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",37.4
13,2006,Euro area (19 countries),Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",62.6
14,2006,Euro area (19 countries),Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),42.2
15,2006,Euro area (19 countries),Percentage,Tertiary education (levels 5-8),20.3
16,2006,Euro area (18 countries),Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",37.6
17,2006,Euro area (18 countries),Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",62.4
18,2006,Euro area (18 countries),Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),42.1
19,2006,Euro area (18 countries),Percentage,Tertiary education (levels 5-8),20.3
20,2006,Euro area (17 countries),Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",37.7
21,2006,Euro area (17 countries),Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",62.3
22,2006,Euro area (17 countries),Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),42.0
23,2006,Euro area (17 countries),Percentage,Tertiary education (levels 5-8),20.3
24,2006,Belgium,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",35.7
25,2006,Belgium,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",64.3
26,2006,Belgium,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),36.4
27,2006,Belgium,Percentage,Tertiary education (levels 5-8),27.9
28,2006,Bulgaria,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",30.6
29,2006,Bulgaria,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",69.4
30,2006,Bulgaria,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),51.3
31,2006,Bulgaria,Percentage,Tertiary education (levels 5-8),18.2
32,2006,Czech Republic,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",16.4
33,2006,Czech Republic,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",83.6
34,2006,Czech Republic,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),72.2
35,2006,Czech Republic,Percentage,Tertiary education (levels 5-8),11.4
36,2006,Denmark,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",25.4
37,2006,Denmark,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",74.6
38,2006,Denmark,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),45.3
39,2006,Denmark,Percentage,Tertiary education (levels 5-8),29.3
40,2006,Germany (until 1990 former territory of the FRG),Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",24.6
41,2006,Germany (until 1990 former territory of the FRG),Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",75.4
42,2006,Germany (until 1990 former territory of the FRG),Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),55.3
43,2006,Germany (until 1990 former territory of the FRG),Percentage,Tertiary education (levels 5-8),20.1
44,2006,Estonia,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",20.6
45,2006,Estonia,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",79.4
46,2006,Estonia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),52.0
47,2006,Estonia,Percentage,Tertiary education (levels 5-8),27.4
48,2006,Ireland,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",35.2
49,2006,Ireland,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",64.8
50,2006,Ireland,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),37.0
51,2006,Ireland,Percentage,Tertiary education (levels 5-8),27.7
52,2006,Greece,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",41.4
53,2006,Greece,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",58.6
54,2006,Greece,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),39.9
55,2006,Greece,Percentage,Tertiary education (levels 5-8),18.7
56,2006,Spain,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",50.9
57,2006,Spain,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",49.1
58,2006,Spain,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),22.8
59,2006,Spain,Percentage,Tertiary education (levels 5-8),26.4
60,2006,France,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",35.0
61,2006,France,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",65.0
62,2006,France,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),41.1
63,2006,France,Percentage,Tertiary education (levels 5-8),24.0
64,2006,Croatia,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",28.3
65,2006,Croatia,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",71.7
66,2006,Croatia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),58.2
67,2006,Croatia,Percentage,Tertiary education (levels 5-8),13.6
68,2006,Italy,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",49.5
69,2006,Italy,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",50.5
70,2006,Italy,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),39.1
71,2006,Italy,Percentage,Tertiary education (levels 5-8),11.4
72,2006,Cyprus,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",33.6
73,2006,Cyprus,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",66.4
74,2006,Cyprus,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),38.8
75,2006,Cyprus,Percentage,Tertiary education (levels 5-8),27.6
76,2006,Latvia,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",24.6
77,2006,Latvia,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",75.4
78,2006,Latvia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),58.0
79,2006,Latvia,Percentage,Tertiary education (levels 5-8),17.4
80,2006,Lithuania,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",20.7
81,2006,Lithuania,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",79.3
82,2006,Lithuania,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),57.4
83,2006,Lithuania,Percentage,Tertiary education (levels 5-8),22.0
84,2006,Luxembourg,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",39.3
85,2006,Luxembourg,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",60.7
86,2006,Luxembourg,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),40.2
87,2006,Luxembourg,Percentage,Tertiary education (levels 5-8),20.5
88,2006,Hungary,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",27.3
89,2006,Hungary,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",72.7
90,2006,Hungary,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),57.7
91,2006,Hungary,Percentage,Tertiary education (levels 5-8),15.0
92,2006,Malta,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",67.5
93,2006,Malta,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",32.5
94,2006,Malta,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),21.5
95,2006,Malta,Percentage,Tertiary education (levels 5-8),11.1
96,2006,Netherlands,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",32.3
97,2006,Netherlands,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",67.7
98,2006,Netherlands,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),41.5
99,2006,Netherlands,Percentage,Tertiary education (levels 5-8),26.2
100,2006,Austria,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",25.0
101,2006,Austria,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",75.0
102,2006,Austria,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),60.3
103,2006,Austria,Percentage,Tertiary education (levels 5-8),14.7
104,2006,Poland,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",21.0
105,2006,Poland,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",79.0
106,2006,Poland,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),64.2
107,2006,Poland,Percentage,Tertiary education (levels 5-8),14.9
108,2006,Portugal,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",71.7
109,2006,Portugal,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",28.3
110,2006,Portugal,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),16.7
111,2006,Portugal,Percentage,Tertiary education (levels 5-8),11.7
112,2006,Romania,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",32.1
113,2006,Romania,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",67.9
114,2006,Romania,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),58.4
115,2006,Romania,Percentage,Tertiary education (levels 5-8),9.6
116,2006,Slovenia,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",22.8
117,2006,Slovenia,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",77.2
118,2006,Slovenia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),59.4
119,2006,Slovenia,Percentage,Tertiary education (levels 5-8),17.8
120,2006,Slovakia,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",18.9
121,2006,Slovakia,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",81.1
122,2006,Slovakia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),69.2
123,2006,Slovakia,Percentage,Tertiary education (levels 5-8),11.9
124,2006,Finland,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",26.2
125,2006,Finland,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",73.8
126,2006,Finland,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),44.8
127,2006,Finland,Percentage,Tertiary education (levels 5-8),29.0
128,2006,Sweden,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",26.9
129,2006,Sweden,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",73.1
130,2006,Sweden,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),47.2
131,2006,Sweden,Percentage,Tertiary education (levels 5-8),25.9
132,2006,United Kingdom,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",27.5
133,2006,United Kingdom,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",72.5
134,2006,United Kingdom,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),44.9
135,2006,United Kingdom,Percentage,Tertiary education (levels 5-8),27.6
136,2006,Iceland,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",43.8
137,2006,Iceland,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",56.2
138,2006,Iceland,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),32.2
139,2006,Iceland,Percentage,Tertiary education (levels 5-8),24.0
140,2006,Norway,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",29.3
141,2006,Norway,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",70.7
142,2006,Norway,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),42.4
143,2006,Norway,Percentage,Tertiary education (levels 5-8),28.2
144,2006,Switzerland,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",21.9
145,2006,Switzerland,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",78.1
146,2006,Switzerland,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),52.9
147,2006,Switzerland,Percentage,Tertiary education (levels 5-8),25.2
148,2006,"Former Yugoslav Republic of Macedonia, the",Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",44.0
149,2006,"Former Yugoslav Republic of Macedonia, the",Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",56.0
150,2006,"Former Yugoslav Republic of Macedonia, the",Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),45.4
151,2006,"Former Yugoslav Republic of Macedonia, the",Percentage,Tertiary education (levels 5-8),10.6
152,2006,Turkey,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",71.7
153,2006,Turkey,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",28.3
154,2006,Turkey,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),19.9
155,2006,Turkey,Percentage,Tertiary education (levels 5-8),8.4
156,2007,European Union (28 countries),Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",32.9
157,2007,European Union (28 countries),Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",67.1
158,2007,European Union (28 countries),Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),46.6
159,2007,European Union (28 countries),Percentage,Tertiary education (levels 5-8),20.5
160,2007,European Union (27 countries),Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",32.9
161,2007,European Union (27 countries),Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",67.1
162,2007,European Union (27 countries),Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),46.5
163,2007,European Union (27 countries),Percentage,Tertiary education (levels 5-8),20.6
164,2007,European Union (15 countries),Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",35.5
165,2007,European Union (15 countries),Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",64.5
166,2007,European Union (15 countries),Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),42.2
167,2007,European Union (15 countries),Percentage,Tertiary education (levels 5-8),22.3
168,2007,Euro area (19 countries),Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",36.6
169,2007,Euro area (19 countries),Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",63.4
170,2007,Euro area (19 countries),Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),42.6
171,2007,Euro area (19 countries),Percentage,Tertiary education (levels 5-8),20.8
172,2007,Euro area (18 countries),Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",36.8
173,2007,Euro area (18 countries),Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",63.2
174,2007,Euro area (18 countries),Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),42.4
175,2007,Euro area (18 countries),Percentage,Tertiary education (levels 5-8),20.8
176,2007,Euro area (17 countries),Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",36.9
177,2007,Euro area (17 countries),Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",63.1
178,2007,Euro area (17 countries),Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),42.3
179,2007,Euro area (17 countries),Percentage,Tertiary education (levels 5-8),20.8
180,2007,Belgium,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",34.8
