,TIME,GEO,UNIT,INDIC_NA,Value
0,2006,European Union (28 countries),Million euro,Gross domestic product at market prices,11764657.3
1,2006,European Union (28 countries),Million euro,Gross fixed capital formation,2431228.5
2,2006,European Union (28 countries),Million euro,External balance of goods and services,50880.5
3,2006,European Union (28 countries),Euro per inhabitant,Gross domestic product at market prices,23600.0
4,2006,European Union (28 countries),Euro per inhabitant,Gross fixed capital formation,4900.0
5,2006,European Union (28 countries),Euro per inhabitant,External balance of goods and services,100.0
6,2006,European Union (28 countries),Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,23600.0
7,2006,European Union (28 countries),Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,4900.0
8,2006,European Union (28 countries),Purchasing power standard (PPS) per inhabitant,External balance of goods and services,100.0
9,2006,European Union (28 countries),Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0
10,2006,European Union (28 countries),Percentage of gross domestic product (GDP),Gross fixed capital formation,20.7
11,2006,European Union (28 countries),Percentage of gross domestic product (GDP),External balance of goods and services,0.4
12,2006,European Union (28 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,100.0
13,2006,European Union (28 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,99.7
14,2006,European Union (28 countries),Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,94.3
15,2006,European Union (27 countries),Million euro,Gross domestic product at market prices,11724922.7
16,2006,European Union (27 countries),Million euro,Gross fixed capital formation,2420882.3
17,2006,European Union (27 countries),Million euro,External balance of goods and services,53554.1
18,2006,European Union (27 countries),Euro per inhabitant,Gross domestic product at market prices,23800.0
19,2006,European Union (27 countries),Euro per inhabitant,Gross fixed capital formation,4900.0
20,2006,European Union (27 countries),Euro per inhabitant,External balance of goods and services,100.0
21,2006,European Union (27 countries),Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,23700.0
22,2006,European Union (27 countries),Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,4900.0
23,2006,European Union (27 countries),Purchasing power standard (PPS) per inhabitant,External balance of goods and services,100.0
24,2006,European Union (27 countries),Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0
25,2006,European Union (27 countries),Percentage of gross domestic product (GDP),Gross fixed capital formation,20.6
26,2006,European Union (27 countries),Percentage of gross domestic product (GDP),External balance of goods and services,0.5
27,2006,European Union (27 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,100.0
28,2006,European Union (27 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,100.0
29,2006,European Union (27 countries),Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,100.0
30,2006,European Union (15 countries),Million euro,Gross domestic product at market prices,10971818.9
31,2006,European Union (15 countries),Million euro,Gross fixed capital formation,2244890.1
32,2006,European Union (15 countries),Million euro,External balance of goods and services,82127.6
33,2006,European Union (15 countries),Euro per inhabitant,Gross domestic product at market prices,28100.0
34,2006,European Union (15 countries),Euro per inhabitant,Gross fixed capital formation,5700.0
35,2006,European Union (15 countries),Euro per inhabitant,External balance of goods and services,200.0
36,2006,European Union (15 countries),Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,26600.0
37,2006,European Union (15 countries),Purchasing power standard (PPS) per inhabitant,Gross fixed capital formation,5400.0
38,2006,European Union (15 countries),Purchasing power standard (PPS) per inhabitant,External balance of goods and services,200.0
39,2006,European Union (15 countries),Percentage of gross domestic product (GDP),Gross domestic product at market prices,100.0
40,2006,European Union (15 countries),Percentage of gross domestic product (GDP),Gross fixed capital formation,20.5
41,2006,European Union (15 countries),Percentage of gross domestic product (GDP),External balance of goods and services,0.7
42,2006,European Union (15 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross domestic product at market prices,112.1
43,2006,European Union (15 countries),Percentage of EU27 total (based on PPS per inhabitant),Gross fixed capital formation,111.1
44,2006,European Union (15 countries),Percentage of EU27 total (based on PPS per inhabitant),External balance of goods and services,183.7
45,2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Million euro,Gross domestic product at market prices,8455402.9
46,2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Million euro,Gross fixed capital formation,1797859.2
47,2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Million euro,External balance of goods and services,101047.2
48,2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Euro per inhabitant,Gross domestic product at market prices,26800.0
49,2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Euro per inhabitant,Gross fixed capital formation,5700.0
50,2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Euro per inhabitant,External balance of goods and services,300.0
51,2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Purchasing power standard (PPS) per inhabitant,Gross domestic product at market prices,26000.0
