,TIME,GEO,CITIZEN,SEX,AGE,UNIT,Value
0,2008,European Union (28 countries),Total,Total,Total,Person,579825.0
1,2008,European Union (28 countries),Total,Total,Less than 14 years,Person,10620.0
2,2008,European Union (28 countries),Total,Total,From 14 to 17 years,Person,25790.0
3,2008,European Union (28 countries),Total,Total,From 18 to 34 years,Person,327615.0
4,2008,European Union (28 countries),Total,Total,35 years or over,Person,67960.0
5,2008,European Union (28 countries),Total,Males,Total,Person,525305.0
6,2008,European Union (28 countries),Total,Males,Less than 14 years,Person,5915.0
7,2008,European Union (28 countries),Total,Males,From 14 to 17 years,Person,23825.0
8,2008,European Union (28 countries),Total,Males,From 18 to 34 years,Person,295020.0
9,2008,European Union (28 countries),Total,Males,35 years or over,Person,52855.0
10,2008,European Union (28 countries),Total,Females,Total,Person,54520.0
11,2008,European Union (28 countries),Total,Females,Less than 14 years,Person,4710.0
12,2008,European Union (28 countries),Total,Females,From 14 to 17 years,Person,1965.0
13,2008,European Union (28 countries),Total,Females,From 18 to 34 years,Person,32595.0
14,2008,European Union (28 countries),Total,Females,35 years or over,Person,15105.0
15,2008,European Union (28 countries),Total,Unknown,Total,Person,
16,2008,European Union (28 countries),Total,Unknown,Less than 14 years,Person,
17,2008,European Union (28 countries),Total,Unknown,From 14 to 17 years,Person,
18,2008,European Union (28 countries),Total,Unknown,From 18 to 34 years,Person,
19,2008,European Union (28 countries),Total,Unknown,35 years or over,Person,
20,2008,European Union (27 countries),Total,Total,Total,Person,579825.0
21,2008,European Union (27 countries),Total,Total,Less than 14 years,Person,10620.0
22,2008,European Union (27 countries),Total,Total,From 14 to 17 years,Person,25790.0
23,2008,European Union (27 countries),Total,Total,From 18 to 34 years,Person,327615.0
24,2008,European Union (27 countries),Total,Total,35 years or over,Person,67960.0
25,2008,European Union (27 countries),Total,Males,Total,Person,525305.0
26,2008,European Union (27 countries),Total,Males,Less than 14 years,Person,5915.0
27,2008,European Union (27 countries),Total,Males,From 14 to 17 years,Person,23825.0
28,2008,European Union (27 countries),Total,Males,From 18 to 34 years,Person,295020.0
29,2008,European Union (27 countries),Total,Males,35 years or over,Person,52855.0
30,2008,European Union (27 countries),Total,Females,Total,Person,54520.0
31,2008,European Union (27 countries),Total,Females,Less than 14 years,Person,4710.0
32,2008,European Union (27 countries),Total,Females,From 14 to 17 years,Person,1965.0
33,2008,European Union (27 countries),Total,Females,From 18 to 34 years,Person,32595.0
34,2008,European Union (27 countries),Total,Females,35 years or over,Person,15105.0
35,2008,European Union (27 countries),Total,Unknown,Total,Person,
36,2008,European Union (27 countries),Total,Unknown,Less than 14 years,Person,
37,2008,European Union (27 countries),Total,Unknown,From 14 to 17 years,Person,
38,2008,European Union (27 countries),Total,Unknown,From 18 to 34 years,Person,
39,2008,European Union (27 countries),Total,Unknown,35 years or over,Person,
40,2008,Belgium,Total,Total,Total,Person,13800.0
41,2008,Belgium,Total,Total,Less than 14 years,Person,145.0
42,2008,Belgium,Total,Total,From 14 to 17 years,Person,805.0
43,2008,Belgium,Total,Total,From 18 to 34 years,Person,9260.0
44,2008,Belgium,Total,Total,35 years or over,Person,3590.0
45,2008,Belgium,Total,Males,Total,Person,12325.0
46,2008,Belgium,Total,Males,Less than 14 years,Person,85.0
47,2008,Belgium,Total,Males,From 14 to 17 years,Person,685.0
48,2008,Belgium,Total,Males,From 18 to 34 years,Person,8430.0
49,2008,Belgium,Total,Males,35 years or over,Person,3130.0
50,2008,Belgium,Total,Females,Total,Person,1470.0
51,2008,Belgium,Total,Females,Less than 14 years,Person,60.0
52,2008,Belgium,Total,Females,From 14 to 17 years,Person,120.0
53,2008,Belgium,Total,Females,From 18 to 34 years,Person,830.0
54,2008,Belgium,Total,Females,35 years or over,Person,460.0
55,2008,Belgium,Total,Unknown,Total,Person,
56,2008,Belgium,Total,Unknown,Less than 14 years,Person,
57,2008,Belgium,Total,Unknown,From 14 to 17 years,Person,
58,2008,Belgium,Total,Unknown,From 18 to 34 years,Person,
59,2008,Belgium,Total,Unknown,35 years or over,Person,
60,2008,Bulgaria,Total,Total,Total,Person,1415.0
61,2008,Bulgaria,Total,Total,Less than 14 years,Person,
62,2008,Bulgaria,Total,Total,From 14 to 17 years,Person,
63,2008,Bulgaria,Total,Total,From 18 to 34 years,Person,
64,2008,Bulgaria,Total,Total,35 years or over,Person,
65,2008,Bulgaria,Total,Males,Total,Person,1270.0
66,2008,Bulgaria,Total,Males,Less than 14 years,Person,
67,2008,Bulgaria,Total,Males,From 14 to 17 years,Person,
68,2008,Bulgaria,Total,Males,From 18 to 34 years,Person,
69,2008,Bulgaria,Total,Males,35 years or over,Person,
70,2008,Bulgaria,Total,Females,Total,Person,145.0
71,2008,Bulgaria,Total,Females,Less than 14 years,Person,
72,2008,Bulgaria,Total,Females,From 14 to 17 years,Person,
73,2008,Bulgaria,Total,Females,From 18 to 34 years,Person,
74,2008,Bulgaria,Total,Females,35 years or over,Person,
75,2008,Bulgaria,Total,Unknown,Total,Person,
76,2008,Bulgaria,Total,Unknown,Less than 14 years,Person,
77,2008,Bulgaria,Total,Unknown,From 14 to 17 years,Person,
78,2008,Bulgaria,Total,Unknown,From 18 to 34 years,Person,
79,2008,Bulgaria,Total,Unknown,35 years or over,Person,
80,2008,Czech Republic,Total,Total,Total,Person,3335.0
81,2008,Czech Republic,Total,Total,Less than 14 years,Person,45.0
82,2008,Czech Republic,Total,Total,From 14 to 17 years,Person,30.0
83,2008,Czech Republic,Total,Total,From 18 to 34 years,Person,1710.0
84,2008,Czech Republic,Total,Total,35 years or over,Person,1545.0
85,2008,Czech Republic,Total,Males,Total,Person,2355.0
86,2008,Czech Republic,Total,Males,Less than 14 years,Person,20.0
87,2008,Czech Republic,Total,Males,From 14 to 17 years,Person,20.0
88,2008,Czech Republic,Total,Males,From 18 to 34 years,Person,1265.0
89,2008,Czech Republic,Total,Males,35 years or over,Person,1045.0
90,2008,Czech Republic,Total,Females,Total,Person,980.0
91,2008,Czech Republic,Total,Females,Less than 14 years,Person,25.0
92,2008,Czech Republic,Total,Females,From 14 to 17 years,Person,10.0
93,2008,Czech Republic,Total,Females,From 18 to 34 years,Person,445.0
94,2008,Czech Republic,Total,Females,35 years or over,Person,500.0
95,2008,Czech Republic,Total,Unknown,Total,Person,
96,2008,Czech Republic,Total,Unknown,Less than 14 years,Person,
97,2008,Czech Republic,Total,Unknown,From 14 to 17 years,Person,
98,2008,Czech Republic,Total,Unknown,From 18 to 34 years,Person,
99,2008,Czech Republic,Total,Unknown,35 years or over,Person,
100,2008,Denmark,Total,Total,Total,Person,610.0
101,2008,Denmark,Total,Total,Less than 14 years,Person,10.0
102,2008,Denmark,Total,Total,From 14 to 17 years,Person,45.0
103,2008,Denmark,Total,Total,From 18 to 34 years,Person,395.0
104,2008,Denmark,Total,Total,35 years or over,Person,160.0
105,2008,Denmark,Total,Males,Total,Person,435.0
106,2008,Denmark,Total,Males,Less than 14 years,Person,10.0
107,2008,Denmark,Total,Males,From 14 to 17 years,Person,40.0
108,2008,Denmark,Total,Males,From 18 to 34 years,Person,290.0
109,2008,Denmark,Total,Males,35 years or over,Person,95.0
110,2008,Denmark,Total,Females,Total,Person,175.0
111,2008,Denmark,Total,Females,Less than 14 years,Person,5.0
112,2008,Denmark,Total,Females,From 14 to 17 years,Person,5.0
113,2008,Denmark,Total,Females,From 18 to 34 years,Person,100.0
114,2008,Denmark,Total,Females,35 years or over,Person,65.0
115,2008,Denmark,Total,Unknown,Total,Person,
116,2008,Denmark,Total,Unknown,Less than 14 years,Person,
117,2008,Denmark,Total,Unknown,From 14 to 17 years,Person,
118,2008,Denmark,Total,Unknown,From 18 to 34 years,Person,
119,2008,Denmark,Total,Unknown,35 years or over,Person,
120,2008,Germany (until 1990 former territory of the FRG),Total,Total,Total,Person,53695.0
121,2008,Germany (until 1990 former territory of the FRG),Total,Total,Less than 14 years,Person,
122,2008,Germany (until 1990 former territory of the FRG),Total,Total,From 14 to 17 years,Person,
123,2008,Germany (until 1990 former territory of the FRG),Total,Total,From 18 to 34 years,Person,
124,2008,Germany (until 1990 former territory of the FRG),Total,Total,35 years or over,Person,
125,2008,Germany (until 1990 former territory of the FRG),Total,Males,Total,Person,53695.0
126,2008,Germany (until 1990 former territory of the FRG),Total,Males,Less than 14 years,Person,
127,2008,Germany (until 1990 former territory of the FRG),Total,Males,From 14 to 17 years,Person,
128,2008,Germany (until 1990 former territory of the FRG),Total,Males,From 18 to 34 years,Person,
129,2008,Germany (until 1990 former territory of the FRG),Total,Males,35 years or over,Person,
130,2008,Germany (until 1990 former territory of the FRG),Total,Females,Total,Person,
131,2008,Germany (until 1990 former territory of the FRG),Total,Females,Less than 14 years,Person,
132,2008,Germany (until 1990 former territory of the FRG),Total,Females,From 14 to 17 years,Person,
133,2008,Germany (until 1990 former territory of the FRG),Total,Females,From 18 to 34 years,Person,
134,2008,Germany (until 1990 former territory of the FRG),Total,Females,35 years or over,Person,
135,2008,Germany (until 1990 former territory of the FRG),Total,Unknown,Total,Person,
136,2008,Germany (until 1990 former territory of the FRG),Total,Unknown,Less than 14 years,Person,
137,2008,Germany (until 1990 former territory of the FRG),Total,Unknown,From 14 to 17 years,Person,
138,2008,Germany (until 1990 former territory of the FRG),Total,Unknown,From 18 to 34 years,Person,
139,2008,Germany (until 1990 former territory of the FRG),Total,Unknown,35 years or over,Person,
140,2008,Estonia,Total,Total,Total,Person,1050.0
141,2008,Estonia,Total,Total,Less than 14 years,Person,0.0
142,2008,Estonia,Total,Total,From 14 to 17 years,Person,45.0
143,2008,Estonia,Total,Total,From 18 to 34 years,Person,325.0
144,2008,Estonia,Total,Total,35 years or over,Person,685.0
145,2008,Estonia,Total,Males,Total,Person,705.0
146,2008,Estonia,Total,Males,Less than 14 years,Person,0.0
147,2008,Estonia,Total,Males,From 14 to 17 years,Person,15.0
148,2008,Estonia,Total,Males,From 18 to 34 years,Person,245.0
149,2008,Estonia,Total,Males,35 years or over,Person,445.0
150,2008,Estonia,Total,Females,Total,Person,345.0
151,2008,Estonia,Total,Females,Less than 14 years,Person,0.0
152,2008,Estonia,Total,Females,From 14 to 17 years,Person,25.0
153,2008,Estonia,Total,Females,From 18 to 34 years,Person,80.0
154,2008,Estonia,Total,Females,35 years or over,Person,240.0
155,2008,Estonia,Total,Unknown,Total,Person,
156,2008,Estonia,Total,Unknown,Less than 14 years,Person,
157,2008,Estonia,Total,Unknown,From 14 to 17 years,Person,
158,2008,Estonia,Total,Unknown,From 18 to 34 years,Person,
159,2008,Estonia,Total,Unknown,35 years or over,Person,
160,2008,Ireland,Total,Total,Total,Person,3185.0
161,2008,Ireland,Total,Total,Less than 14 years,Person,515.0
162,2008,Ireland,Total,Total,From 14 to 17 years,Person,75.0
163,2008,Ireland,Total,Total,From 18 to 34 years,Person,1745.0
164,2008,Ireland,Total,Total,35 years or over,Person,850.0
165,2008,Ireland,Total,Males,Total,Person,1990.0
166,2008,Ireland,Total,Males,Less than 14 years,Person,255.0
167,2008,Ireland,Total,Males,From 14 to 17 years,Person,40.0
168,2008,Ireland,Total,Males,From 18 to 34 years,Person,1110.0
169,2008,Ireland,Total,Males,35 years or over,Person,585.0
170,2008,Ireland,Total,Females,Total,Person,1195.0
171,2008,Ireland,Total,Females,Less than 14 years,Person,265.0
172,2008,Ireland,Total,Females,From 14 to 17 years,Person,35.0
173,2008,Ireland,Total,Females,From 18 to 34 years,Person,630.0
174,2008,Ireland,Total,Females,35 years or over,Person,265.0
175,2008,Ireland,Total,Unknown,Total,Person,
176,2008,Ireland,Total,Unknown,Less than 14 years,Person,
177,2008,Ireland,Total,Unknown,From 14 to 17 years,Person,
178,2008,Ireland,Total,Unknown,From 18 to 34 years,Person,
179,2008,Ireland,Total,Unknown,35 years or over,Person,
180,2008,Greece,Total,Total,Total,Person,106715.0
181,2008,Greece,Total,Total,Less than 14 years,Person,2575.0
182,2008,Greece,Total,Total,From 14 to 17 years,Person,10545.0
183,2008,Greece,Total,Total,From 18 to 34 years,Person,81335.0
184,2008,Greece,Total,Total,35 years or over,Person,12260.0
185,2008,Greece,Total,Males,Total,Person,99170.0
186,2008,Greece,Total,Males,Less than 14 years,Person,1645.0
187,2008,Greece,Total,Males,From 14 to 17 years,Person,10055.0
188,2008,Greece,Total,Males,From 18 to 34 years,Person,76820.0
189,2008,Greece,Total,Males,35 years or over,Person,10655.0
190,2008,Greece,Total,Females,Total,Person,7545.0
191,2008,Greece,Total,Females,Less than 14 years,Person,930.0
192,2008,Greece,Total,Females,From 14 to 17 years,Person,490.0
193,2008,Greece,Total,Females,From 18 to 34 years,Person,4515.0
194,2008,Greece,Total,Females,35 years or over,Person,1610.0
195,2008,Greece,Total,Unknown,Total,Person,
196,2008,Greece,Total,Unknown,Less than 14 years,Person,
197,2008,Greece,Total,Unknown,From 14 to 17 years,Person,
198,2008,Greece,Total,Unknown,From 18 to 34 years,Person,
199,2008,Greece,Total,Unknown,35 years or over,Person,
200,2008,Spain,Total,Total,Total,Person,92730.0
201,2008,Spain,Total,Total,Less than 14 years,Person,
202,2008,Spain,Total,Total,From 14 to 17 years,Person,
203,2008,Spain,Total,Total,From 18 to 34 years,Person,
204,2008,Spain,Total,Total,35 years or over,Person,
205,2008,Spain,Total,Males,Total,Person,92730.0
206,2008,Spain,Total,Males,Less than 14 years,Person,
207,2008,Spain,Total,Males,From 14 to 17 years,Person,
208,2008,Spain,Total,Males,From 18 to 34 years,Person,
209,2008,Spain,Total,Males,35 years or over,Person,
210,2008,Spain,Total,Females,Total,Person,
211,2008,Spain,Total,Females,Less than 14 years,Person,
212,2008,Spain,Total,Females,From 14 to 17 years,Person,
213,2008,Spain,Total,Females,From 18 to 34 years,Person,
214,2008,Spain,Total,Females,35 years or over,Person,
215,2008,Spain,Total,Unknown,Total,Person,
216,2008,Spain,Total,Unknown,Less than 14 years,Person,
217,2008,Spain,Total,Unknown,From 14 to 17 years,Person,
218,2008,Spain,Total,Unknown,From 18 to 34 years,Person,
219,2008,Spain,Total,Unknown,35 years or over,Person,
220,2008,France,Total,Total,Total,Person,111690.0
221,2008,France,Total,Total,Less than 14 years,Person,0.0
222,2008,France,Total,Total,From 14 to 17 years,Person,6600.0
223,2008,France,Total,Total,From 18 to 34 years,Person,105090.0
224,2008,France,Total,Total,35 years or over,Person,0.0
225,2008,France,Total,Males,Total,Person,104855.0
226,2008,France,Total,Males,Less than 14 years,Person,0.0
227,2008,France,Total,Males,From 14 to 17 years,Person,6400.0
228,2008,France,Total,Males,From 18 to 34 years,Person,98455.0
229,2008,France,Total,Males,35 years or over,Person,0.0
230,2008,France,Total,Females,Total,Person,6840.0
231,2008,France,Total,Females,Less than 14 years,Person,0.0
232,2008,France,Total,Females,From 14 to 17 years,Person,200.0
233,2008,France,Total,Females,From 18 to 34 years,Person,6635.0
234,2008,France,Total,Females,35 years or over,Person,0.0
235,2008,France,Total,Unknown,Total,Person,
236,2008,France,Total,Unknown,Less than 14 years,Person,
237,2008,France,Total,Unknown,From 14 to 17 years,Person,
238,2008,France,Total,Unknown,From 18 to 34 years,Person,
239,2008,France,Total,Unknown,35 years or over,Person,
240,2008,Croatia,Total,Total,Total,Person,
241,2008,Croatia,Total,Total,Less than 14 years,Person,
242,2008,Croatia,Total,Total,From 14 to 17 years,Person,
243,2008,Croatia,Total,Total,From 18 to 34 years,Person,
244,2008,Croatia,Total,Total,35 years or over,Person,
245,2008,Croatia,Total,Males,Total,Person,
246,2008,Croatia,Total,Males,Less than 14 years,Person,
247,2008,Croatia,Total,Males,From 14 to 17 years,Person,
248,2008,Croatia,Total,Males,From 18 to 34 years,Person,
249,2008,Croatia,Total,Males,35 years or over,Person,
250,2008,Croatia,Total,Females,Total,Person,
251,2008,Croatia,Total,Females,Less than 14 years,Person,
252,2008,Croatia,Total,Females,From 14 to 17 years,Person,
253,2008,Croatia,Total,Females,From 18 to 34 years,Person,
254,2008,Croatia,Total,Females,35 years or over,Person,
255,2008,Croatia,Total,Unknown,Total,Person,
256,2008,Croatia,Total,Unknown,Less than 14 years,Person,
257,2008,Croatia,Total,Unknown,From 14 to 17 years,Person,
258,2008,Croatia,Total,Unknown,From 18 to 34 years,Person,
259,2008,Croatia,Total,Unknown,35 years or over,Person,
260,2008,Italy,Total,Total,Total,Person,68175.0
261,2008,Italy,Total,Total,Less than 14 years,Person,0.0
262,2008,Italy,Total,Total,From 14 to 17 years,Person,0.0
263,2008,Italy,Total,Total,From 18 to 34 years,Person,54315.0
264,2008,Italy,Total,Total,35 years or over,Person,13860.0
265,2008,Italy,Total,Males,Total,Person,62535.0
266,2008,Italy,Total,Males,Less than 14 years,Person,0.0
267,2008,Italy,Total,Males,From 14 to 17 years,Person,0.0
268,2008,Italy,Total,Males,From 18 to 34 years,Person,50455.0
269,2008,Italy,Total,Males,35 years or over,Person,12085.0
270,2008,Italy,Total,Females,Total,Person,5640.0
271,2008,Italy,Total,Females,Less than 14 years,Person,0.0
