,TIME,GEO,AGEDEF,AGE,UNIT,SEX,Value
0,2005,Belgium,Age reached during the year,Total,Number,Total,132810.0
1,2005,Bulgaria,Age reached during the year,Total,Number,Total,
2,2005,Czech Republic,Age reached during the year,Total,Number,Total,60294.0
3,2005,Denmark,Age reached during the year,Total,Number,Total,52458.0
4,2005,Germany (until 1990 former territory of the FRG),Age reached during the year,Total,Number,Total,707352.0
5,2005,Estonia,Age reached during the year,Total,Number,Total,1436.0
6,2005,Ireland,Age reached during the year,Total,Number,Total,102000.0
7,2005,Greece,Age reached during the year,Total,Number,Total,70933.0
8,2005,Spain,Age reached during the year,Total,Number,Total,719284.0
9,2005,France,Age reached during the year,Total,Number,Total,
10,2005,Croatia,Age reached during the year,Total,Number,Total,
11,2005,Italy,Age reached during the year,Total,Number,Total,304960.0
12,2005,Cyprus,Age reached during the year,Total,Number,Total,10320.0
13,2005,Latvia,Age reached during the year,Total,Number,Total,6691.0
14,2005,Lithuania,Age reached during the year,Total,Number,Total,6789.0
15,2005,Luxembourg,Age reached during the year,Total,Number,Total,14397.0
16,2005,Hungary,Age reached during the year,Total,Number,Total,27820.0
17,2005,Malta,Age reached during the year,Total,Number,Total,2075.0
18,2005,Netherlands,Age reached during the year,Total,Number,Total,92297.0
19,2005,Austria,Age reached during the year,Total,Number,Total,114465.0
20,2005,Poland,Age reached during the year,Total,Number,Total,9364.0
21,2005,Portugal,Age reached during the year,Total,Number,Total,21741.0
22,2005,Romania,Age reached during the year,Total,Number,Total,
23,2005,Slovenia,Age reached during the year,Total,Number,Total,15041.0
24,2005,Slovakia,Age reached during the year,Total,Number,Total,5276.0
25,2005,Finland,Age reached during the year,Total,Number,Total,21355.0
26,2005,Sweden,Age reached during the year,Total,Number,Total,65229.0
27,2005,United Kingdom,Age reached during the year,Total,Number,Total,
28,2005,Iceland,Age reached during the year,Total,Number,Total,7773.0
29,2005,Liechtenstein,Age reached during the year,Total,Number,Total,
30,2005,Norway,Age reached during the year,Total,Number,Total,40148.0
31,2005,Switzerland,Age reached during the year,Total,Number,Total,118270.0
32,2006,Belgium,Age reached during the year,Total,Number,Total,137699.0
33,2006,Bulgaria,Age reached during the year,Total,Number,Total,
34,2006,Czech Republic,Age reached during the year,Total,Number,Total,68183.0
35,2006,Denmark,Age reached during the year,Total,Number,Total,56750.0
36,2006,Germany (until 1990 former territory of the FRG),Age reached during the year,Total,Number,Total,661855.0
37,2006,Estonia,Age reached during the year,Total,Number,Total,2234.0
38,2006,Ireland,Age reached during the year,Total,Number,Total,139434.0
39,2006,Greece,Age reached during the year,Total,Number,Total,63094.0
40,2006,Spain,Age reached during the year,Total,Number,Total,840844.0
41,2006,France,Age reached during the year,Total,Number,Total,301544.0
42,2006,Croatia,Age reached during the year,Total,Number,Total,14978.0
43,2006,Italy,Age reached during the year,Total,Number,Total,279714.0
44,2006,Cyprus,Age reached during the year,Total,Number,Total,13077.0
45,2006,Latvia,Age reached during the year,Total,Number,Total,8212.0
46,2006,Lithuania,Age reached during the year,Total,Number,Total,7745.0
47,2006,Luxembourg,Age reached during the year,Total,Number,Total,14352.0
48,2006,Hungary,Age reached during the year,Total,Number,Total,25732.0
49,2006,Malta,Age reached during the year,Total,Number,Total,3889.0
50,2006,Netherlands,Age reached during the year,Total,Number,Total,101150.0
51,2006,Austria,Age reached during the year,Total,Number,Total,98535.0
52,2006,Poland,Age reached during the year,Total,Number,Total,10802.0
53,2006,Portugal,Age reached during the year,Total,Number,Total,22741.0
54,2006,Romania,Age reached during the year,Total,Number,Total,
55,2006,Slovenia,Age reached during the year,Total,Number,Total,20016.0
56,2006,Slovakia,Age reached during the year,Total,Number,Total,5589.0
57,2006,Finland,Age reached during the year,Total,Number,Total,22451.0
58,2006,Sweden,Age reached during the year,Total,Number,Total,95750.0
59,2006,United Kingdom,Age reached during the year,Total,Number,Total,529008.0
60,2006,Iceland,Age reached during the year,Total,Number,Total,9832.0
61,2006,Liechtenstein,Age reached during the year,Total,Number,Total,
62,2006,Norway,Age reached during the year,Total,Number,Total,45776.0
63,2006,Switzerland,Age reached during the year,Total,Number,Total,127586.0
64,2007,Belgium,Age reached during the year,Total,Number,Total,146409.0
65,2007,Bulgaria,Age reached during the year,Total,Number,Total,1561.0
66,2007,Czech Republic,Age reached during the year,Total,Number,Total,104445.0
67,2007,Denmark,Age reached during the year,Total,Number,Total,64656.0
68,2007,Germany (until 1990 former territory of the FRG),Age reached during the year,Total,Number,Total,680766.0
69,2007,Estonia,Age reached during the year,Total,Number,Total,3741.0
70,2007,Ireland,Age reached during the year,Total,Number,Total,122415.0
71,2007,Greece,Age reached during the year,Total,Number,Total,63298.0
72,2007,Spain,Age reached during the year,Total,Number,Total,958266.0
73,2007,France,Age reached during the year,Total,Number,Total,293980.0
74,2007,Croatia,Age reached during the year,Total,Number,Total,14622.0
75,2007,Italy,Age reached during the year,Total,Number,Total,527123.0
76,2007,Cyprus,Age reached during the year,Total,Number,Total,19328.0
77,2007,Latvia,Age reached during the year,Total,Number,Total,7517.0
78,2007,Lithuania,Age reached during the year,Total,Number,Total,8609.0
