,TIME,GEO,CURRENCY,Value
0,,Belgium,Euro,1234.0
1,,Bulgaria,Euro,81.79
2,,Czech Republic,Euro,261.03
3,,Denmark,Euro,
4,,Germany (until 1990 former territory of the FRG),Euro,
5,,Estonia,Euro,191.73
6,,Ireland,Euro,1292.85
7,,Greece,Euro,709.71
8,,Spain,Euro,631.05
9,,France,Euro,1217.88
10,,Croatia,Euro,
11,,Italy,Euro,
12,,Cyprus,Euro,
13,,Latvia,Euro,129.27
14,,Lithuania,Euro,159.29
15,,Luxembourg,Euro,1503.42
16,,Hungary,Euro,247.16
17,,Malta,Euro,584.23
18,,Netherlands,Euro,1272.6
19,,Austria,Euro,
20,,Poland,Euro,232.9
21,,Portugal,Euro,449.98
22,,Romania,Euro,89.67
23,,Slovenia,Euro,511.9
24,,Slovakia,Euro,182.15
25,,Finland,Euro,
26,,Sweden,Euro,
27,,United Kingdom,Euro,1212.61
28,,Iceland,Euro,
29,,Norway,Euro,
30,,Switzerland,Euro,
31,,Montenegro,Euro,
32,,"Former Yugoslav Republic of Macedonia, the",Euro,
33,,Albania,Euro,
34,,Serbia,Euro,
35,,Turkey,Euro,333.46
36,,United States,Euro,756.69
37,,Belgium,Euro,1234.0
38,,Bulgaria,Euro,81.81
39,,Czech Republic,Euro,279.19
40,,Denmark,Euro,
41,,Germany (until 1990 former territory of the FRG),Euro,
42,,Estonia,Euro,191.73
43,,Ireland,Euro,1292.85
44,,Greece,Euro,709.71
45,,Spain,Euro,631.05
46,,France,Euro,1254.28
47,,Croatia,Euro,
48,,Italy,Euro,
49,,Cyprus,Euro,
50,,Latvia,Euro,129.29
51,,Lithuania,Euro,173.77
52,,Luxembourg,Euro,1503.42
53,,Hungary,Euro,220.58
54,,Malta,Euro,584.23
55,,Netherlands,Euro,1284.6
56,,Austria,Euro,
57,,Poland,Euro,221.72
58,,Portugal,Euro,449.98
59,,Romania,Euro,92.43
60,,Slovenia,Euro,511.62
61,,Slovakia,Euro,179.92
62,,Finland,Euro,
63,,Sweden,Euro,
64,,United Kingdom,Euro,1200.69
65,,Iceland,Euro,
66,,Norway,Euro,
67,,Switzerland,Euro,
68,,Montenegro,Euro,
69,,"Former Yugoslav Republic of Macedonia, the",Euro,
