,TIME,GEO,AGE,SEX,UNIT,Value
0,2006,European Union (28 countries),Total,Total,Number,496436597.0
1,2006,European Union (27 countries),Total,Total,Number,492124110.0
2,2006,Euro area (19 countries),Total,Total,Number,329684938.0
3,2006,Euro area (18 countries),Total,Total,Number,326395103.0
4,2006,Belgium,Total,Total,Number,10511382.0
5,2006,Bulgaria,Total,Total,Number,7629371.0
6,2006,Czech Republic,Total,Total,Number,10223577.0
7,2006,Denmark,Total,Total,Number,5427459.0
8,2006,Germany (until 1990 former territory of the FRG),Total,Total,Number,82437995.0
9,2006,Germany (including former GDR),Total,Total,Number,82437995.0
10,2006,Estonia,Total,Total,Number,1350700.0
11,2006,Ireland,Total,Total,Number,4208156.0
12,2006,Greece,Total,Total,Number,11004716.0
13,2006,Spain,Total,Total,Number,44009971.0
14,2006,France,Total,Total,Number,63229635.0
15,2006,France (metropolitan),Total,Total,Number,61399733.0
16,2006,Croatia,Total,Total,Number,4312487.0
17,2006,Italy,Total,Total,Number,58064214.0
18,2006,Cyprus,Total,Total,Number,744013.0
19,2006,Latvia,Total,Total,Number,2227874.0
20,2006,Lithuania,Total,Total,Number,3289835.0
21,2006,Luxembourg,Total,Total,Number,469086.0
22,2006,Hungary,Total,Total,Number,10076581.0
23,2006,Malta,Total,Total,Number,404999.0
24,2006,Netherlands,Total,Total,Number,16334210.0
25,2006,Austria,Total,Total,Number,8254298.0
26,2006,Poland,Total,Total,Number,38157055.0
27,2006,Portugal,Total,Total,Number,10511988.0
28,2006,Romania,Total,Total,Number,21257016.0
29,2006,Slovenia,Total,Total,Number,2003358.0
30,2006,Slovakia,Total,Total,Number,5372928.0
31,2006,Finland,Total,Total,Number,5255580.0
32,2006,Sweden,Total,Total,Number,9047752.0
33,2006,United Kingdom,Total,Total,Number,60620361.0
34,2006,"European Economic Area (EU-28 plus IS, LI, NO)",Total,Total,Number,501411612.0
35,2006,"European Economic Area (EU-27 plus IS, LI, NO)",Total,Total,Number,497099125.0
36,2006,European Free Trade Association,Total,Total,Number,12434143.0
37,2006,Iceland,Total,Total,Number,299891.0
38,2006,Liechtenstein,Total,Total,Number,34905.0
39,2006,Norway,Total,Total,Number,4640219.0
40,2006,Switzerland,Total,Total,Number,7459128.0
41,2006,Montenegro,Total,Total,Number,613109.0
42,2006,"Former Yugoslav Republic of Macedonia, the",Total,Total,Number,2038514.0
43,2006,Albania,Total,Total,Number,3149143.0
44,2006,Serbia,Total,Total,Number,7425487.0
45,2006,Turkey,Total,Total,Number,68860539.0
46,2006,Andorra,Total,Total,Number,78549.0
47,2006,Belarus,Total,Total,Number,9750540.0
48,2006,Bosnia and Herzegovina,Total,Total,Number,3842650.0
49,2006,Kosovo (under United Nations Security Council Resolution 1244/99),Total,Total,Number,2100000.0
50,2006,Moldova,Total,Total,Number,3589936.0
51,2006,Monaco,Total,Total,Number,
52,2006,Russia,Total,Total,Number,142753551.0
53,2006,San Marino,Total,Total,Number,29999.0
54,2006,Ukraine,Total,Total,Number,46749170.0
55,2006,Armenia,Total,Total,Number,3219234.0
56,2006,Azerbaijan,Total,Total,Number,8436400.0
57,2006,Georgia,Total,Total,Number,4401292.0
58,2007,European Union (28 countries),Total,Total,Number,498300775.0
59,2007,European Union (27 countries),Total,Total,Number,493987245.0
60,2007,Euro area (19 countries),Total,Total,Number,331204579.0
61,2007,Euro area (18 countries),Total,Total,Number,327954596.0
62,2007,Belgium,Total,Total,Number,10584534.0
63,2007,Bulgaria,Total,Total,Number,7572673.0
64,2007,Czech Republic,Total,Total,Number,10254233.0
65,2007,Denmark,Total,Total,Number,5447084.0
66,2007,Germany (until 1990 former territory of the FRG),Total,Total,Number,82314906.0
67,2007,Germany (including former GDR),Total,Total,Number,82314906.0
68,2007,Estonia,Total,Total,Number,1342920.0
69,2007,Ireland,Total,Total,Number,4340118.0
70,2007,Greece,Total,Total,Number,11036008.0
71,2007,Spain,Total,Total,Number,44784666.0
72,2007,France,Total,Total,Number,63645065.0
73,2007,France (metropolitan),Total,Total,Number,61795238.0
74,2007,Croatia,Total,Total,Number,4313530.0
75,2007,Italy,Total,Total,Number,58223744.0
76,2007,Cyprus,Total,Total,Number,757916.0
77,2007,Latvia,Total,Total,Number,2208840.0
78,2007,Lithuania,Total,Total,Number,3249983.0
79,2007,Luxembourg,Total,Total,Number,476187.0
80,2007,Hungary,Total,Total,Number,10066158.0
