TIME,GEO,ICCS,UNIT,Value,Flag and Footnotes
2008,Belgium,Intentional homicide,Number,203,
2008,Belgium,Intentional homicide,Per hundred thousand inhabitants,1.90,
2008,Belgium,Assault,Number,76314,
2008,Belgium,Assault,Per hundred thousand inhabitants,715.43,
2008,Belgium,Sexual violence,Number,10779,
2008,Belgium,Sexual violence,Per hundred thousand inhabitants,101.05,
2008,Belgium,Rape,Number,3231,
2008,Belgium,Rape,Per hundred thousand inhabitants,30.29,
2008,Belgium,Sexual assault,Number,7548,
2008,Belgium,Sexual assault,Per hundred thousand inhabitants,70.76,
2008,Belgium,Theft,Number,245682,
2008,Belgium,Theft,Per hundred thousand inhabitants,2303.23,
2008,Bulgaria,Intentional homicide,Number,172,
2008,Bulgaria,Intentional homicide,Per hundred thousand inhabitants,2.29,
2008,Bulgaria,Assault,Number,3216,
2008,Bulgaria,Assault,Per hundred thousand inhabitants,42.78,
2008,Bulgaria,Sexual violence,Number,749,
2008,Bulgaria,Sexual violence,Per hundred thousand inhabitants,9.96,
2008,Bulgaria,Rape,Number,262,
2008,Bulgaria,Rape,Per hundred thousand inhabitants,3.48,
2008,Bulgaria,Sexual assault,Number,487,
2008,Bulgaria,Sexual assault,Per hundred thousand inhabitants,6.48,
2008,Bulgaria,Theft,Number,42553,
2008,Bulgaria,Theft,Per hundred thousand inhabitants,566.01,
2008,Czech Republic,Intentional homicide,Number,113,
2008,Czech Republic,Intentional homicide,Per hundred thousand inhabitants,1.09,
2008,Czech Republic,Assault,Number,17875,
2008,Czech Republic,Assault,Per hundred thousand inhabitants,172.82,
2008,Czech Republic,Sexual violence,Number,1680,
2008,Czech Republic,Sexual violence,Per hundred thousand inhabitants,16.24,
2008,Czech Republic,Rape,Number,529,
2008,Czech Republic,Rape,Per hundred thousand inhabitants,5.11,
2008,Czech Republic,Sexual assault,Number,1151,
2008,Czech Republic,Sexual assault,Per hundred thousand inhabitants,11.13,
2008,Czech Republic,Theft,Number,166085,
2008,Czech Republic,Theft,Per hundred thousand inhabitants,1605.71,
2008,Denmark,Intentional homicide,Number,54,
2008,Denmark,Intentional homicide,Per hundred thousand inhabitants,0.99,
2008,Denmark,Assault,Number,11203,
2008,Denmark,Assault,Per hundred thousand inhabitants,204.59,
2008,Denmark,Sexual violence,Number,1837,
