TIME,GEO,SEX,AGE,UNIT,ISCED11,Value,Flag and Footnotes
2006,European Union (28 countries),Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",33.5,
2006,European Union (28 countries),Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",66.5,
2006,European Union (28 countries),Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),46.4,
2006,European Union (28 countries),Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),20.0,
2006,European Union (27 countries),Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",33.6,
2006,European Union (27 countries),Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",66.4,
2006,European Union (27 countries),Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),46.3,
2006,European Union (27 countries),Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),20.1,
2006,European Union (15 countries),Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",36.2,
2006,European Union (15 countries),Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",63.8,
2006,European Union (15 countries),Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),42.0,
2006,European Union (15 countries),Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),21.8,
2006,Euro area (19 countries),Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",37.4,
2006,Euro area (19 countries),Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",62.6,
2006,Euro area (19 countries),Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),42.2,
2006,Euro area (19 countries),Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),20.3,
2006,Euro area (18 countries),Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",37.6,
2006,Euro area (18 countries),Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",62.4,
2006,Euro area (18 countries),Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),42.1,
2006,Euro area (18 countries),Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),20.3,
2006,Euro area (17 countries),Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",37.7,
2006,Euro area (17 countries),Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",62.3,
2006,Euro area (17 countries),Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),42.0,
2006,Euro area (17 countries),Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),20.3,
2006,Belgium,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",35.7,
2006,Belgium,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",64.3,
2006,Belgium,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),36.4,
2006,Belgium,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),27.9,
2006,Bulgaria,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",30.6,b
2006,Bulgaria,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",69.4,b
2006,Bulgaria,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),51.3,b
2006,Bulgaria,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),18.2,b
2006,Czech Republic,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",16.4,
2006,Czech Republic,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",83.6,
2006,Czech Republic,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),72.2,
2006,Czech Republic,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),11.4,
2006,Denmark,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",25.4,
2006,Denmark,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",74.6,
2006,Denmark,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),45.3,
2006,Denmark,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),29.3,
2006,Germany (until 1990 former territory of the FRG),Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",24.6,
2006,Germany (until 1990 former territory of the FRG),Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",75.4,
2006,Germany (until 1990 former territory of the FRG),Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),55.3,
2006,Germany (until 1990 former territory of the FRG),Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),20.1,
2006,Estonia,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",20.6,
2006,Estonia,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",79.4,
2006,Estonia,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),52.0,
2006,Estonia,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),27.4,
2006,Ireland,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",35.2,
2006,Ireland,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",64.8,
2006,Ireland,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),37.0,
2006,Ireland,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),27.7,
2006,Greece,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",41.4,
2006,Greece,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",58.6,
2006,Greece,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),39.9,
2006,Greece,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),18.7,
2006,Spain,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",50.9,
2006,Spain,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",49.1,
2006,Spain,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),22.8,
2006,Spain,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),26.4,
2006,France,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",35.0,
2006,France,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",65.0,
2006,France,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),41.1,
2006,France,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),24.0,
2006,Croatia,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",28.3,
2006,Croatia,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",71.7,
2006,Croatia,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),58.2,
2006,Croatia,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),13.6,
2006,Italy,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",49.5,
2006,Italy,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",50.5,
2006,Italy,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),39.1,
2006,Italy,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),11.4,
2006,Cyprus,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",33.6,
2006,Cyprus,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",66.4,
2006,Cyprus,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),38.8,
2006,Cyprus,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),27.6,
2006,Latvia,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",24.6,
2006,Latvia,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",75.4,
2006,Latvia,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),58.0,
2006,Latvia,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),17.4,
2006,Lithuania,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",20.7,
2006,Lithuania,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",79.3,
2006,Lithuania,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),57.4,
2006,Lithuania,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),22.0,
2006,Luxembourg,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",39.3,
2006,Luxembourg,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",60.7,
2006,Luxembourg,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),40.2,
2006,Luxembourg,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),20.5,
2006,Hungary,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",27.3,
2006,Hungary,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",72.7,
2006,Hungary,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),57.7,
2006,Hungary,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),15.0,
2006,Malta,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",67.5,
2006,Malta,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",32.5,
2006,Malta,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),21.5,
2006,Malta,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),11.1,
2006,Netherlands,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",32.3,
2006,Netherlands,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",67.7,
2006,Netherlands,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),41.5,
2006,Netherlands,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),26.2,
2006,Austria,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",25.0,b
2006,Austria,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",75.0,b
2006,Austria,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),60.3,b
2006,Austria,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),14.7,b
2006,Poland,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",21.0,
2006,Poland,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",79.0,
2006,Poland,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),64.2,
2006,Poland,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),14.9,
2006,Portugal,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",71.7,
2006,Portugal,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",28.3,
2006,Portugal,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),16.7,
2006,Portugal,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),11.7,
2006,Romania,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",32.1,
2006,Romania,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",67.9,
2006,Romania,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),58.4,
2006,Romania,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),9.6,
2006,Slovenia,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",22.8,
2006,Slovenia,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",77.2,
2006,Slovenia,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),59.4,
2006,Slovenia,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),17.8,
2006,Slovakia,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",18.9,
2006,Slovakia,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",81.1,
2006,Slovakia,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),69.2,
2006,Slovakia,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),11.9,
2006,Finland,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",26.2,
2006,Finland,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",73.8,
2006,Finland,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),44.8,
2006,Finland,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),29.0,
2006,Sweden,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",26.9,b
2006,Sweden,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",73.1,b
2006,Sweden,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),47.2,b
2006,Sweden,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),25.9,b
2006,United Kingdom,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",27.5,
2006,United Kingdom,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",72.5,
2006,United Kingdom,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),44.9,
2006,United Kingdom,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),27.6,
2006,Iceland,Total,From 15 to 64 years,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",43.8,u
2006,Iceland,Total,From 15 to 64 years,Percentage,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",56.2,u
2006,Iceland,Total,From 15 to 64 years,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),32.2,u
2006,Iceland,Total,From 15 to 64 years,Percentage,Tertiary education (levels 5-8),24.0,u
