TIME,GEO,CITIZEN,SEX,AGE,UNIT,Value,Flag and Footnotes
2008,European Union (28 countries),Total,Total,Total,Person,579825,d
2008,European Union (28 countries),Total,Total,Less than 14 years,Person,10620,d
2008,European Union (28 countries),Total,Total,From 14 to 17 years,Person,25790,d
2008,European Union (28 countries),Total,Total,From 18 to 34 years,Person,327615,d
2008,European Union (28 countries),Total,Total,35 years or over,Person,67960,d
2008,European Union (28 countries),Total,Males,Total,Person,525305,d
2008,European Union (28 countries),Total,Males,Less than 14 years,Person,5915,d
2008,European Union (28 countries),Total,Males,From 14 to 17 years,Person,23825,d
2008,European Union (28 countries),Total,Males,From 18 to 34 years,Person,295020,d
2008,European Union (28 countries),Total,Males,35 years or over,Person,52855,d
2008,European Union (28 countries),Total,Females,Total,Person,54520,d
2008,European Union (28 countries),Total,Females,Less than 14 years,Person,4710,d
2008,European Union (28 countries),Total,Females,From 14 to 17 years,Person,1965,d
2008,European Union (28 countries),Total,Females,From 18 to 34 years,Person,32595,d
2008,European Union (28 countries),Total,Females,35 years or over,Person,15105,d
2008,European Union (28 countries),Total,Unknown,Total,Person,,
2008,European Union (28 countries),Total,Unknown,Less than 14 years,Person,,
2008,European Union (28 countries),Total,Unknown,From 14 to 17 years,Person,,
2008,European Union (28 countries),Total,Unknown,From 18 to 34 years,Person,,
2008,European Union (28 countries),Total,Unknown,35 years or over,Person,,
2008,European Union (27 countries),Total,Total,Total,Person,579825,d
2008,European Union (27 countries),Total,Total,Less than 14 years,Person,10620,d
2008,European Union (27 countries),Total,Total,From 14 to 17 years,Person,25790,d
2008,European Union (27 countries),Total,Total,From 18 to 34 years,Person,327615,d
2008,European Union (27 countries),Total,Total,35 years or over,Person,67960,d
2008,European Union (27 countries),Total,Males,Total,Person,525305,d
2008,European Union (27 countries),Total,Males,Less than 14 years,Person,5915,d
2008,European Union (27 countries),Total,Males,From 14 to 17 years,Person,23825,d
2008,European Union (27 countries),Total,Males,From 18 to 34 years,Person,295020,d
2008,European Union (27 countries),Total,Males,35 years or over,Person,52855,d
2008,European Union (27 countries),Total,Females,Total,Person,54520,d
2008,European Union (27 countries),Total,Females,Less than 14 years,Person,4710,d
2008,European Union (27 countries),Total,Females,From 14 to 17 years,Person,1965,d
2008,European Union (27 countries),Total,Females,From 18 to 34 years,Person,32595,d
2008,European Union (27 countries),Total,Females,35 years or over,Person,15105,d
2008,European Union (27 countries),Total,Unknown,Total,Person,,
2008,European Union (27 countries),Total,Unknown,Less than 14 years,Person,,
2008,European Union (27 countries),Total,Unknown,From 14 to 17 years,Person,,
2008,European Union (27 countries),Total,Unknown,From 18 to 34 years,Person,,
2008,European Union (27 countries),Total,Unknown,35 years or over,Person,,
2008,Belgium,Total,Total,Total,Person,13800,
2008,Belgium,Total,Total,Less than 14 years,Person,145,
2008,Belgium,Total,Total,From 14 to 17 years,Person,805,
2008,Belgium,Total,Total,From 18 to 34 years,Person,9260,
2008,Belgium,Total,Total,35 years or over,Person,3590,
2008,Belgium,Total,Males,Total,Person,12325,
2008,Belgium,Total,Males,Less than 14 years,Person,85,
2008,Belgium,Total,Males,From 14 to 17 years,Person,685,
2008,Belgium,Total,Males,From 18 to 34 years,Person,8430,
2008,Belgium,Total,Males,35 years or over,Person,3130,
2008,Belgium,Total,Females,Total,Person,1470,
2008,Belgium,Total,Females,Less than 14 years,Person,60,
2008,Belgium,Total,Females,From 14 to 17 years,Person,120,
2008,Belgium,Total,Females,From 18 to 34 years,Person,830,
2008,Belgium,Total,Females,35 years or over,Person,460,
2008,Belgium,Total,Unknown,Total,Person,,
2008,Belgium,Total,Unknown,Less than 14 years,Person,,
2008,Belgium,Total,Unknown,From 14 to 17 years,Person,,
2008,Belgium,Total,Unknown,From 18 to 34 years,Person,,
2008,Belgium,Total,Unknown,35 years or over,Person,,
2008,Bulgaria,Total,Total,Total,Person,1415,
2008,Bulgaria,Total,Total,Less than 14 years,Person,,
2008,Bulgaria,Total,Total,From 14 to 17 years,Person,,
2008,Bulgaria,Total,Total,From 18 to 34 years,Person,,
2008,Bulgaria,Total,Total,35 years or over,Person,,
2008,Bulgaria,Total,Males,Total,Person,1270,
2008,Bulgaria,Total,Males,Less than 14 years,Person,,
2008,Bulgaria,Total,Males,From 14 to 17 years,Person,,
2008,Bulgaria,Total,Males,From 18 to 34 years,Person,,
2008,Bulgaria,Total,Males,35 years or over,Person,,
2008,Bulgaria,Total,Females,Total,Person,145,
2008,Bulgaria,Total,Females,Less than 14 years,Person,,
2008,Bulgaria,Total,Females,From 14 to 17 years,Person,,
2008,Bulgaria,Total,Females,From 18 to 34 years,Person,,
2008,Bulgaria,Total,Females,35 years or over,Person,,
2008,Bulgaria,Total,Unknown,Total,Person,,
2008,Bulgaria,Total,Unknown,Less than 14 years,Person,,
2008,Bulgaria,Total,Unknown,From 14 to 17 years,Person,,
2008,Bulgaria,Total,Unknown,From 18 to 34 years,Person,,
2008,Bulgaria,Total,Unknown,35 years or over,Person,,
2008,Czech Republic,Total,Total,Total,Person,3335,
2008,Czech Republic,Total,Total,Less than 14 years,Person,45,
2008,Czech Republic,Total,Total,From 14 to 17 years,Person,30,
2008,Czech Republic,Total,Total,From 18 to 34 years,Person,1710,
