TIME,GEO,AGEDEF,AGE,UNIT,SEX,Value,Flag and Footnotes
2005,Belgium,Age reached during the year,Total,Number,Total,132810,
2005,Bulgaria,Age reached during the year,Total,Number,Total,,
2005,Czech Republic,Age reached during the year,Total,Number,Total,60294,
2005,Denmark,Age reached during the year,Total,Number,Total,52458,
2005,Germany (until 1990 former territory of the FRG),Age reached during the year,Total,Number,Total,707352,
2005,Estonia,Age reached during the year,Total,Number,Total,1436,
2005,Ireland,Age reached during the year,Total,Number,Total,102000,
2005,Greece,Age reached during the year,Total,Number,Total,70933,
2005,Spain,Age reached during the year,Total,Number,Total,719284,
2005,France,Age reached during the year,Total,Number,Total,,
2005,Croatia,Age reached during the year,Total,Number,Total,,
2005,Italy,Age reached during the year,Total,Number,Total,304960,
2005,Cyprus,Age reached during the year,Total,Number,Total,10320,
2005,Latvia,Age reached during the year,Total,Number,Total,6691,
2005,Lithuania,Age reached during the year,Total,Number,Total,6789,
2005,Luxembourg,Age reached during the year,Total,Number,Total,14397,
2005,Hungary,Age reached during the year,Total,Number,Total,27820,
2005,Malta,Age reached during the year,Total,Number,Total,2075,
2005,Netherlands,Age reached during the year,Total,Number,Total,92297,
2005,Austria,Age reached during the year,Total,Number,Total,114465,
2005,Poland,Age reached during the year,Total,Number,Total,9364,
2005,Portugal,Age reached during the year,Total,Number,Total,21741,
2005,Romania,Age reached during the year,Total,Number,Total,,
2005,Slovenia,Age reached during the year,Total,Number,Total,15041,
2005,Slovakia,Age reached during the year,Total,Number,Total,5276,
2005,Finland,Age reached during the year,Total,Number,Total,21355,
2005,Sweden,Age reached during the year,Total,Number,Total,65229,
2005,United Kingdom,Age reached during the year,Total,Number,Total,,
2005,Iceland,Age reached during the year,Total,Number,Total,7773,
2005,Liechtenstein,Age reached during the year,Total,Number,Total,,
2005,Norway,Age reached during the year,Total,Number,Total,40148,
2005,Switzerland,Age reached during the year,Total,Number,Total,118270,
2006,Belgium,Age reached during the year,Total,Number,Total,137699,
2006,Bulgaria,Age reached during the year,Total,Number,Total,,
