TIME,GEO,AGE,SEX,UNIT,Value,Flag and Footnotes
2006,European Union (28 countries),Total,Total,Number,496436597,
2006,European Union (27 countries),Total,Total,Number,492124110,
2006,Euro area (19 countries),Total,Total,Number,329684938,
2006,Euro area (18 countries),Total,Total,Number,326395103,
2006,Belgium,Total,Total,Number,10511382,
2006,Bulgaria,Total,Total,Number,7629371,
2006,Czech Republic,Total,Total,Number,10223577,
2006,Denmark,Total,Total,Number,5427459,
2006,Germany (until 1990 former territory of the FRG),Total,Total,Number,82437995,
2006,Germany (including former GDR),Total,Total,Number,82437995,
2006,Estonia,Total,Total,Number,1350700,
2006,Ireland,Total,Total,Number,4208156,
2006,Greece,Total,Total,Number,11004716,
2006,Spain,Total,Total,Number,44009971,
2006,France,Total,Total,Number,63229635,
2006,France (metropolitan),Total,Total,Number,61399733,
2006,Croatia,Total,Total,Number,4312487,
2006,Italy,Total,Total,Number,58064214,
2006,Cyprus,Total,Total,Number,744013,
2006,Latvia,Total,Total,Number,2227874,
2006,Lithuania,Total,Total,Number,3289835,
2006,Luxembourg,Total,Total,Number,469086,
2006,Hungary,Total,Total,Number,10076581,
2006,Malta,Total,Total,Number,404999,
2006,Netherlands,Total,Total,Number,16334210,
2006,Austria,Total,Total,Number,8254298,
2006,Poland,Total,Total,Number,38157055,
2006,Portugal,Total,Total,Number,10511988,
2006,Romania,Total,Total,Number,21257016,
2006,Slovenia,Total,Total,Number,2003358,
2006,Slovakia,Total,Total,Number,5372928,
2006,Finland,Total,Total,Number,5255580,
2006,Sweden,Total,Total,Number,9047752,
2006,United Kingdom,Total,Total,Number,60620361,
2006,"European Economic Area (EU-28 plus IS, LI, NO)",Total,Total,Number,501411612,
2006,"European Economic Area (EU-27 plus IS, LI, NO)",Total,Total,Number,497099125,
2006,European Free Trade Association,Total,Total,Number,12434143,
2006,Iceland,Total,Total,Number,299891,
2006,Liechtenstein,Total,Total,Number,34905,
2006,Norway,Total,Total,Number,4640219,
2006,Switzerland,Total,Total,Number,7459128,
2006,Montenegro,Total,Total,Number,613109,
2006,"Former Yugoslav Republic of Macedonia, the",Total,Total,Number,2038514,
2006,Albania,Total,Total,Number,3149143,
2006,Serbia,Total,Total,Number,7425487,
2006,Turkey,Total,Total,Number,68860539,
2006,Andorra,Total,Total,Number,78549,
2006,Belarus,Total,Total,Number,9750540,
2006,Bosnia and Herzegovina,Total,Total,Number,3842650,
2006,Kosovo (under United Nations Security Council Resolution 1244/99),Total,Total,Number,2100000,
2006,Moldova,Total,Total,Number,3589936,
2006,Monaco,Total,Total,Number,,
2006,Russia,Total,Total,Number,142753551,
2006,San Marino,Total,Total,Number,29999,
2006,Ukraine,Total,Total,Number,46749170,
2006,Armenia,Total,Total,Number,3219234,
2006,Azerbaijan,Total,Total,Number,8436400,
2006,Georgia,Total,Total,Number,4401292,
2007,European Union (28 countries),Total,Total,Number,498300775,
2007,European Union (27 countries),Total,Total,Number,493987245,
2007,Euro area (19 countries),Total,Total,Number,331204579,
2007,Euro area (18 countries),Total,Total,Number,327954596,
2007,Belgium,Total,Total,Number,10584534,
2007,Bulgaria,Total,Total,Number,7572673,
2007,Czech Republic,Total,Total,Number,10254233,
2007,Denmark,Total,Total,Number,5447084,
2007,Germany (until 1990 former territory of the FRG),Total,Total,Number,82314906,
2007,Germany (including former GDR),Total,Total,Number,82314906,
2007,Estonia,Total,Total,Number,1342920,
2007,Ireland,Total,Total,Number,4340118,
2007,Greece,Total,Total,Number,11036008,
2007,Spain,Total,Total,Number,44784666,
2007,France,Total,Total,Number,63645065,
2007,France (metropolitan),Total,Total,Number,61795238,
2007,Croatia,Total,Total,Number,4313530,
2007,Italy,Total,Total,Number,58223744,
2007,Cyprus,Total,Total,Number,757916,
2007,Latvia,Total,Total,Number,2208840,
2007,Lithuania,Total,Total,Number,3249983,
2007,Luxembourg,Total,Total,Number,476187,
2007,Hungary,Total,Total,Number,10066158,
2007,Malta,Total,Total,Number,405616,
2007,Netherlands,Total,Total,Number,16357992,
2007,Austria,Total,Total,Number,8282984,
2007,Poland,Total,Total,Number,38125479,
2007,Portugal,Total,Total,Number,10532588,
2007,Romania,Total,Total,Number,21130503,
2007,Slovenia,Total,Total,Number,2010377,
2007,Slovakia,Total,Total,Number,5373180,
2007,Finland,Total,Total,Number,5276955,
2007,Sweden,Total,Total,Number,9113257,
2007,United Kingdom,Total,Total,Number,61073279,
2007,"European Economic Area (EU-28 plus IS, LI, NO)",Total,Total,Number,503324749,
2007,"European Economic Area (EU-27 plus IS, LI, NO)",Total,Total,Number,499011219,
2007,European Free Trade Association,Total,Total,Number,12532713,
2007,Iceland,Total,Total,Number,307672,
2007,Liechtenstein,Total,Total,Number,35168,
2007,Norway,Total,Total,Number,4681134,
2007,Switzerland,Total,Total,Number,7508739,
2007,Montenegro,Total,Total,Number,614624,
2007,"Former Yugoslav Republic of Macedonia, the",Total,Total,Number,2041941,
2007,Albania,Total,Total,Number,3152625,
2007,Serbia,Total,Total,Number,7397651,
2007,Turkey,Total,Total,Number,69729967,
2007,Andorra,Total,Total,Number,81222,
2007,Belarus,Total,Total,Number,9714461,
2007,Bosnia and Herzegovina,Total,Total,Number,3844017,
2007,Kosovo (under United Nations Security Council Resolution 1244/99),Total,Total,Number,2126708,
2007,Moldova,Total,Total,Number,3581110,
2007,Monaco,Total,Total,Number,,
2007,Russia,Total,Total,Number,142220968,
2007,San Marino,Total,Total,Number,30368,
2007,Ukraine,Total,Total,Number,46465691,
2007,Armenia,Total,Total,Number,3222953,
2007,Azerbaijan,Total,Total,Number,8532700,
2007,Georgia,Total,Total,Number,4394702,
2008,European Union (28 countries),Total,Total,Number,500297033,
2008,European Union (27 countries),Total,Total,Number,495985066,
2008,Euro area (19 countries),Total,Total,Number,333096775,
2008,Euro area (18 countries),Total,Total,Number,329884170,
2008,Belgium,Total,Total,Number,10666866,
2008,Bulgaria,Total,Total,Number,7518002,
2008,Czech Republic,Total,Total,Number,10343422,
2008,Denmark,Total,Total,Number,5475791,
2008,Germany (until 1990 former territory of the FRG),Total,Total,Number,82217837,
2008,Germany (including former GDR),Total,Total,Number,82217837,
2008,Estonia,Total,Total,Number,1338440,
2008,Ireland,Total,Total,Number,4457765,
