TIME,GEO,AGE,UNIT,SEX,Value,Flag and Footnotes
2006,European Union (28 countries),Total,Thousand persons,Total,19316,
2006,European Union (28 countries),Total,Percentage of total population,Total,5.1,
2006,European Union (28 countries),Total,Percentage of active population,Total,8.2,
2006,European Union (27 countries),Total,Thousand persons,Total,19101,
2006,European Union (27 countries),Total,Percentage of total population,Total,5.1,
2006,European Union (27 countries),Total,Percentage of active population,Total,8.2,
2006,European Union (25 countries),Total,Thousand persons,Total,18074,
2006,European Union (25 countries),Total,Percentage of total population,Total,5.1,
2006,European Union (25 countries),Total,Percentage of active population,Total,8.3,
2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Thousand persons,Total,12336,
2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of total population,Total,5.1,
2006,"Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)",Total,Percentage of active population,Total,8.4,
2006,Euro area (19 countries),Total,Thousand persons,Total,12985,
2006,Euro area (19 countries),Total,Percentage of total population,Total,5.2,
2006,Euro area (19 countries),Total,Percentage of active population,Total,8.4,
2006,Euro area (18 countries),Total,Thousand persons,Total,12897,
2006,Euro area (18 countries),Total,Percentage of total population,Total,5.2,
2006,Euro area (18 countries),Total,Percentage of active population,Total,8.4,
2006,Belgium,Total,Thousand persons,Total,383,
2006,Belgium,Total,Percentage of total population,Total,4.9,
2006,Belgium,Total,Percentage of active population,Total,8.3,
2006,Bulgaria,Total,Thousand persons,Total,309,
2006,Bulgaria,Total,Percentage of total population,Total,5.1,
2006,Bulgaria,Total,Percentage of active population,Total,9.0,
2006,Czech Republic,Total,Thousand persons,Total,371,
2006,Czech Republic,Total,Percentage of total population,Total,4.6,
2006,Czech Republic,Total,Percentage of active population,Total,7.1,
2006,Denmark,Total,Thousand persons,Total,114,i
2006,Denmark,Total,Percentage of total population,Total,2.8,i
2006,Denmark,Total,Percentage of active population,Total,3.9,i
2006,Germany (until 1990 former territory of the FRG),Total,Thousand persons,Total,4104,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage of total population,Total,6.6,
2006,Germany (until 1990 former territory of the FRG),Total,Percentage of active population,Total,10.1,
2006,Estonia,Total,Thousand persons,Total,41,
2006,Estonia,Total,Percentage of total population,Total,3.9,
2006,Estonia,Total,Percentage of active population,Total,5.9,
2006,Ireland,Total,Thousand persons,Total,97,
2006,Ireland,Total,Percentage of total population,Total,3.0,
2006,Ireland,Total,Percentage of active population,Total,4.5,
2006,Greece,Total,Thousand persons,Total,448,
2006,Greece,Total,Percentage of total population,Total,5.3,
2006,Greece,Total,Percentage of active population,Total,9.0,
2006,Spain,Total,Thousand persons,Total,1841,
2006,Spain,Total,Percentage of total population,Total,5.4,
2006,Spain,Total,Percentage of active population,Total,8.5,
2006,France,Total,Thousand persons,Total,2482,
2006,France,Total,Percentage of total population,Total,5.2,
2006,France,Total,Percentage of active population,Total,8.8,
2006,Croatia,Total,Thousand persons,Total,215,i
2006,Croatia,Total,Percentage of total population,Total,6.4,i
2006,Croatia,Total,Percentage of active population,Total,11.6,i
2006,Italy,Total,Thousand persons,Total,1654,
2006,Italy,Total,Percentage of total population,Total,3.7,
2006,Italy,Total,Percentage of active population,Total,6.8,
2006,Cyprus,Total,Thousand persons,Total,17,
2006,Cyprus,Total,Percentage of total population,Total,3.1,
2006,Cyprus,Total,Percentage of active population,Total,4.6,
2006,Latvia,Total,Thousand persons,Total,78,
2006,Latvia,Total,Percentage of total population,Total,4.5,
2006,Latvia,Total,Percentage of active population,Total,7.0,
2006,Lithuania,Total,Thousand persons,Total,88,
2006,Lithuania,Total,Percentage of total population,Total,3.5,
2006,Lithuania,Total,Percentage of active population,Total,5.8,
2006,Luxembourg,Total,Thousand persons,Total,9,i
2006,Luxembourg,Total,Percentage of total population,Total,2.8,i
2006,Luxembourg,Total,Percentage of active population,Total,4.6,i
2006,Hungary,Total,Thousand persons,Total,317,
2006,Hungary,Total,Percentage of total population,Total,4.1,
2006,Hungary,Total,Percentage of active population,Total,7.5,
2006,Malta,Total,Thousand persons,Total,11,
2006,Malta,Total,Percentage of total population,Total,3.6,
2006,Malta,Total,Percentage of active population,Total,6.8,
2006,Netherlands,Total,Thousand persons,Total,419,
2006,Netherlands,Total,Percentage of total population,Total,2.7,
2006,Netherlands,Total,Percentage of active population,Total,5.0,
2006,Austria,Total,Thousand persons,Total,212,
2006,Austria,Total,Percentage of total population,Total,3.4,
2006,Austria,Total,Percentage of active population,Total,5.3,
2006,Poland,Total,Thousand persons,Total,2311,
2006,Poland,Total,Percentage of total population,Total,8.0,
2006,Poland,Total,Percentage of active population,Total,13.9,
