"TIME","GEO","CITIZEN","SEX","AGE","UNIT","Value","Flag and Footnotes"
"2008","European Union (28 countries)","Total","Total","Total","Person","579,825","d"
"2008","European Union (28 countries)","Total","Total","Less than 14 years","Person","10,620","d"
"2008","European Union (28 countries)","Total","Total","From 14 to 17 years","Person","25,790","d"
"2008","European Union (28 countries)","Total","Total","From 18 to 34 years","Person","327,615","d"
"2008","European Union (28 countries)","Total","Total","35 years or over","Person","67,960","d"
"2008","European Union (28 countries)","Total","Males","Total","Person","525,305","d"
"2008","European Union (28 countries)","Total","Males","Less than 14 years","Person","5,915","d"
"2008","European Union (28 countries)","Total","Males","From 14 to 17 years","Person","23,825","d"
"2008","European Union (28 countries)","Total","Males","From 18 to 34 years","Person","295,020","d"
"2008","European Union (28 countries)","Total","Males","35 years or over","Person","52,855","d"
"2008","European Union (28 countries)","Total","Females","Total","Person","54,520","d"
"2008","European Union (28 countries)","Total","Females","Less than 14 years","Person","4,710","d"
"2008","European Union (28 countries)","Total","Females","From 14 to 17 years","Person","1,965","d"
"2008","European Union (28 countries)","Total","Females","From 18 to 34 years","Person","32,595","d"
"2008","European Union (28 countries)","Total","Females","35 years or over","Person","15,105","d"
"2008","European Union (28 countries)","Total","Unknown","Total","Person",":",""
"2008","European Union (28 countries)","Total","Unknown","Less than 14 years","Person",":",""
"2008","European Union (28 countries)","Total","Unknown","From 14 to 17 years","Person",":",""
"2008","European Union (28 countries)","Total","Unknown","From 18 to 34 years","Person",":",""
"2008","European Union (28 countries)","Total","Unknown","35 years or over","Person",":",""
"2008","European Union (27 countries)","Total","Total","Total","Person","579,825","d"
"2008","European Union (27 countries)","Total","Total","Less than 14 years","Person","10,620","d"
"2008","European Union (27 countries)","Total","Total","From 14 to 17 years","Person","25,790","d"
"2008","European Union (27 countries)","Total","Total","From 18 to 34 years","Person","327,615","d"
"2008","European Union (27 countries)","Total","Total","35 years or over","Person","67,960","d"
"2008","European Union (27 countries)","Total","Males","Total","Person","525,305","d"
"2008","European Union (27 countries)","Total","Males","Less than 14 years","Person","5,915","d"
"2008","European Union (27 countries)","Total","Males","From 14 to 17 years","Person","23,825","d"
"2008","European Union (27 countries)","Total","Males","From 18 to 34 years","Person","295,020","d"
"2008","European Union (27 countries)","Total","Males","35 years or over","Person","52,855","d"
"2008","European Union (27 countries)","Total","Females","Total","Person","54,520","d"
"2008","European Union (27 countries)","Total","Females","Less than 14 years","Person","4,710","d"
"2008","European Union (27 countries)","Total","Females","From 14 to 17 years","Person","1,965","d"
"2008","European Union (27 countries)","Total","Females","From 18 to 34 years","Person","32,595","d"
"2008","European Union (27 countries)","Total","Females","35 years or over","Person","15,105","d"
"2008","European Union (27 countries)","Total","Unknown","Total","Person",":",""
"2008","European Union (27 countries)","Total","Unknown","Less than 14 years","Person",":",""
"2008","European Union (27 countries)","Total","Unknown","From 14 to 17 years","Person",":",""
"2008","European Union (27 countries)","Total","Unknown","From 18 to 34 years","Person",":",""
"2008","European Union (27 countries)","Total","Unknown","35 years or over","Person",":",""
"2008","Belgium","Total","Total","Total","Person","13,800",""
"2008","Belgium","Total","Total","Less than 14 years","Person","145",""
"2008","Belgium","Total","Total","From 14 to 17 years","Person","805",""
"2008","Belgium","Total","Total","From 18 to 34 years","Person","9,260",""
"2008","Belgium","Total","Total","35 years or over","Person","3,590",""
"2008","Belgium","Total","Males","Total","Person","12,325",""
"2008","Belgium","Total","Males","Less than 14 years","Person","85",""
"2008","Belgium","Total","Males","From 14 to 17 years","Person","685",""
"2008","Belgium","Total","Males","From 18 to 34 years","Person","8,430",""
"2008","Belgium","Total","Males","35 years or over","Person","3,130",""
"2008","Belgium","Total","Females","Total","Person","1,470",""
"2008","Belgium","Total","Females","Less than 14 years","Person","60",""
"2008","Belgium","Total","Females","From 14 to 17 years","Person","120",""
"2008","Belgium","Total","Females","From 18 to 34 years","Person","830",""
"2008","Belgium","Total","Females","35 years or over","Person","460",""
"2008","Belgium","Total","Unknown","Total","Person",":",""
"2008","Belgium","Total","Unknown","Less than 14 years","Person",":",""
"2008","Belgium","Total","Unknown","From 14 to 17 years","Person",":",""
"2008","Belgium","Total","Unknown","From 18 to 34 years","Person",":",""
"2008","Belgium","Total","Unknown","35 years or over","Person",":",""
"2008","Bulgaria","Total","Total","Total","Person","1,415",""
"2008","Bulgaria","Total","Total","Less than 14 years","Person",":",""
"2008","Bulgaria","Total","Total","From 14 to 17 years","Person",":",""
"2008","Bulgaria","Total","Total","From 18 to 34 years","Person",":",""
"2008","Bulgaria","Total","Total","35 years or over","Person",":",""
"2008","Bulgaria","Total","Males","Total","Person","1,270",""
"2008","Bulgaria","Total","Males","Less than 14 years","Person",":",""
"2008","Bulgaria","Total","Males","From 14 to 17 years","Person",":",""
"2008","Bulgaria","Total","Males","From 18 to 34 years","Person",":",""
"2008","Bulgaria","Total","Males","35 years or over","Person",":",""
"2008","Bulgaria","Total","Females","Total","Person","145",""
"2008","Bulgaria","Total","Females","Less than 14 years","Person",":",""
"2008","Bulgaria","Total","Females","From 14 to 17 years","Person",":",""
"2008","Bulgaria","Total","Females","From 18 to 34 years","Person",":",""
"2008","Bulgaria","Total","Females","35 years or over","Person",":",""
