Minimum wages,,,,,,,,,,,,,,,,,,,,,,,,
EUR/month,,,,,,,,,,,,,,,,,,,,,,,,
geo\time,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,
EU (28 countries),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Euro area (19 countries),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Belgium,1186.31,,1210,,1234,,1259,,1309.6,,1387.5,,1387.5,,1415.24,,1443.54,,1501.82,,1501.82,,1501.82,
Bulgaria,61.36,,76.69,,81.79,,92.03,,112.49,,122.71,,122.71,,122.71,,138.05,,158.5,,173.84,,184.07,
Czech Republic,206.73,,235.85,,261.03,,291.07,,300.44,,297.67,,302.19,,319.22,,310.23,,318.08,,309.91,,331.71,
Denmark,:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z)
Germany,:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),1440,
Estonia,158.5,,171.92,,191.73,,230.08,,278.02,,278.02,,278.02,,278.02,,290,,320,,355,,390,
Ireland,1073.15,,1183,,1292.85,,1402.7,,1461.85,,1461.85,,1461.85,,1461.85,,1461.85,,1461.85,,1461.85,,1461.85,
Greece,630.77,,667.68,,709.71,,730.3,,794.02,,817.83,,862.82,,862.82,,876.62,,683.76,,683.76,,683.76,
Spain,537.25,,598.5,,631.05,,665.7,,700,,728,,738.85,,748.3,,748.3,,752.85,,752.85,,756.7,
France,1215.11,,1286.09,,1217.88,,1254.28,,1280.07,,1321.02,,1343.77,,1365,,1398.37,,1430.22,,1445.38,,1457.52,
Croatia,:,(z),:,(z),:,(z),:,(z),:,(z),373.46,,385.48,,381.15,,373.36,,372.35,,395.67,,395.61,
Italy,:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z)
Cyprus,:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z)
Latvia,118.96,,114.63,,129.27,,172.12,,229.75,,254.13,,253.77,,281.93,,285.92,,286.66,,320,,360,
Lithuania,130.34,,144.81,,159.29,,173.77,,231.7,,231.7,,231.7,,231.7,,231.7,,289.62,,289.62,,300,
Luxembourg,1402.96,,1466.77,,1503.42,,1570.28,,1570.28,,1641.74,,1682.76,,1757.56,,1801.49,,1874.19,,1921.03,,1922.96,
Hungary,201.9,,231.74,,247.16,,260.16,,271.94,,268.09,,271.8,,280.63,,295.63,,335.27,,341.7,,332.76,
Malta,540.84,,555.05,,584.23,,601.91,,617.21,,634.88,,659.92,,664.95,,685.14,,702.82,,717.95,,720.46,
Netherlands,1264.8,,1264.8,,1272.6,,1300.8,,1335,,1381.2,,1407.6,,1424.4,,1446.6,,1469.4,,1485.6,,1501.8,
Austria,:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z)
Poland,175.25,,207.86,,232.9,,244.32,,313.34,,307.21,,320.87,,348.68,,336.47,,392.73,,404.4,,409.53,
Portugal,425.95,,437.15,,449.98,,470.17,,497,,525,,554.17,,565.83,,565.83,,565.83,,565.83,,589.17,
Romania,68.03,,78.7,,89.67,,115.27,,138.59,,149.16,,141.63,,157.2,,161.91,,157.5,,190.11,,217.5,
Slovenia,470.99,,490.07,,511.9,,521.8,,538.53,,589.19,,597.43,,748.1,,763.06,,783.66,,789.15,,790.73,
Slovakia,147.68,,167.76,,182.15,,220.71,,241.19,,295.5,,307.7,,317,,327,,337.7,,352,,380,
Finland,:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z)
Sweden,:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z)
United Kingdom,1054.2,,1134.67,,1212.61,,1314.97,,1242.24,,995.28,,1076.46,,1136.22,,1201.96,,1249.85,,1251.05,,1378.87,
Iceland,:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z),:,(z)
Liechtenstein,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
