"TIME","GEO","CURRENCY","Value","Flag and Footnotes"
"2006S1","Belgium","Euro","1,234.00",""
"2006S1","Bulgaria","Euro","81.79",""
"2006S1","Czech Republic","Euro","261.03",""
"2006S1","Denmark","Euro",":","z"
"2006S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2006S1","Estonia","Euro","191.73",""
"2006S1","Ireland","Euro","1,292.85",""
"2006S1","Greece","Euro","709.71",""
"2006S1","Spain","Euro","631.05",""
"2006S1","France","Euro","1,217.88",""
"2006S1","Croatia","Euro",":","z"
"2006S1","Italy","Euro",":","z"
"2006S1","Cyprus","Euro",":","z"
"2006S1","Latvia","Euro","129.27",""
"2006S1","Lithuania","Euro","159.29",""
"2006S1","Luxembourg","Euro","1,503.42",""
"2006S1","Hungary","Euro","247.16",""
"2006S1","Malta","Euro","584.23",""
"2006S1","Netherlands","Euro","1,272.60",""
"2006S1","Austria","Euro",":","z"
"2006S1","Poland","Euro","232.90",""
"2006S1","Portugal","Euro","449.98",""
"2006S1","Romania","Euro","89.67",""
"2006S1","Slovenia","Euro","511.90",""
"2006S1","Slovakia","Euro","182.15",""
"2006S1","Finland","Euro",":","z"
"2006S1","Sweden","Euro",":","z"
"2006S1","United Kingdom","Euro","1,212.61",""
"2006S1","Iceland","Euro",":","z"
"2006S1","Norway","Euro",":","z"
"2006S1","Switzerland","Euro",":","z"
"2006S1","Montenegro","Euro",":",""
"2006S1","Former Yugoslav Republic of Macedonia, the","Euro",":","z"
"2006S1","Albania","Euro",":",""
"2006S1","Serbia","Euro",":",""
"2006S1","Turkey","Euro","333.46",""
"2006S1","United States","Euro","756.69",""
"2006S2","Belgium","Euro","1,234.00",""
"2006S2","Bulgaria","Euro","81.81",""
"2006S2","Czech Republic","Euro","279.19",""
"2006S2","Denmark","Euro",":","z"
"2006S2","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2006S2","Estonia","Euro","191.73",""
"2006S2","Ireland","Euro","1,292.85",""
"2006S2","Greece","Euro","709.71",""
"2006S2","Spain","Euro","631.05",""
"2006S2","France","Euro","1,254.28",""
"2006S2","Croatia","Euro",":","z"
"2006S2","Italy","Euro",":","z"
"2006S2","Cyprus","Euro",":","z"
"2006S2","Latvia","Euro","129.29",""
"2006S2","Lithuania","Euro","173.77",""
"2006S2","Luxembourg","Euro","1,503.42",""
"2006S2","Hungary","Euro","220.58",""
"2006S2","Malta","Euro","584.23",""
"2006S2","Netherlands","Euro","1,284.60",""
"2006S2","Austria","Euro",":","z"
"2006S2","Poland","Euro","221.72",""
"2006S2","Portugal","Euro","449.98",""
"2006S2","Romania","Euro","92.43",""
"2006S2","Slovenia","Euro","511.62",""
"2006S2","Slovakia","Euro","179.92",""
"2006S2","Finland","Euro",":","z"
"2006S2","Sweden","Euro",":","z"
"2006S2","United Kingdom","Euro","1,200.69",""
"2006S2","Iceland","Euro",":","z"
"2006S2","Norway","Euro",":","z"
"2006S2","Switzerland","Euro",":","z"
"2006S2","Montenegro","Euro",":",""
"2006S2","Former Yugoslav Republic of Macedonia, the","Euro",":","z"
"2006S2","Albania","Euro",":",""
"2006S2","Serbia","Euro",":",""
"2006S2","Turkey","Euro","264.51",""
"2006S2","United States","Euro","702.17",""
"2007S1","Belgium","Euro","1,259.00",""
"2007S1","Bulgaria","Euro","92.03",""
"2007S1","Czech Republic","Euro","291.07",""
"2007S1","Denmark","Euro",":","z"
"2007S1","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2007S1","Estonia","Euro","230.08",""
"2007S1","Ireland","Euro","1,402.70",""
"2007S1","Greece","Euro","730.30",""
"2007S1","Spain","Euro","665.70",""
"2007S1","France","Euro","1,254.28",""
"2007S1","Croatia","Euro",":","z"
"2007S1","Italy","Euro",":","z"
"2007S1","Cyprus","Euro",":","z"
"2007S1","Latvia","Euro","172.12",""
"2007S1","Lithuania","Euro","173.77",""
"2007S1","Luxembourg","Euro","1,570.28",""
"2007S1","Hungary","Euro","260.16",""
"2007S1","Malta","Euro","601.91",""
"2007S1","Netherlands","Euro","1,300.80",""
"2007S1","Austria","Euro",":","z"
"2007S1","Poland","Euro","244.32",""
"2007S1","Portugal","Euro","470.17",""
"2007S1","Romania","Euro","115.27",""
"2007S1","Slovenia","Euro","521.80",""
"2007S1","Slovakia","Euro","220.71",""
"2007S1","Finland","Euro",":","z"
"2007S1","Sweden","Euro",":","z"
"2007S1","United Kingdom","Euro","1,314.97",""
"2007S1","Iceland","Euro",":","z"
"2007S1","Norway","Euro",":","z"
"2007S1","Switzerland","Euro",":","z"
"2007S1","Montenegro","Euro",":",""
"2007S1","Former Yugoslav Republic of Macedonia, the","Euro",":","z"
"2007S1","Albania","Euro",":",""
"2007S1","Serbia","Euro",":",""
"2007S1","Turkey","Euro","301.77",""
"2007S1","United States","Euro","677.81",""
"2007S2","Belgium","Euro","1,283.00",""
"2007S2","Bulgaria","Euro","92.03",""
"2007S2","Czech Republic","Euro","278.57",""
"2007S2","Denmark","Euro",":","z"
"2007S2","Germany (until 1990 former territory of the FRG)","Euro",":","z"
"2007S2","Estonia","Euro","230.08",""
"2007S2","Ireland","Euro","1,461.85",""
"2007S2","Greece","Euro","767.55",""
